Pos.,No.,Driver,Team,Time,Gap,Grid
1,7,Yuki Tsunoda,Carlin,1:48.688,,1
2,8,Jehan Daruvala,Carlin,1:48.694,+0.006,2
3,20,Mick Schumacher,Prema Racing,1:48.883,+0.195,3
4,4,Callum Ilott,UNI-Virtuosi,1:49.047,+0.359,4
5,25,Luca Ghiotto,Hitech Grand Prix,1:49.230,+0.542,5
6,6,Christian Lundgaard,ART Grand Prix,1:49.252,+0.564,6
7,21,Robert Shwartzman,Prema Racing,1:49.284,+0.596,7
8,9,Jack Aitken,Campos Racing,1:49.306,+0.618,8
9,3,Guanyu Zhou,UNI-Virtuosi,1:49.311,+0.623,9
10,24,Nikita Mazepin,Hitech Grand Prix,1:49.474,+0.786,10
11,1,Jüri Vips,DAMS,1:49.639,+0.951,11
12,12,Pedro Piquet,Charouz Racing System,1:49.680,+0.992,12
13,11,Louis Delétraz,Charouz Racing System,1:49.699,+1.011,13
14,5,Marcus Armstrong,ART Grand Prix,1:49.869,+1.181,14
15,17,Jake Hughes,BWT HWA Racelab,1:49.962,+1.274,15
16,15,Felipe Drugovich,MP Motorsport,1:49.976,+1.288,16
17,2,Dan Ticktum,DAMS,1:50.214,+1.526,17
18,23,Marino Sato,Trident,1:50.349,+1.661,18
19,22,Roy Nissany,Trident,1:50.456,+1.768,19
20,16,Artem Markelov,BWT HWA Racelab,1:50.488,+1.800,20
21,14,Giuliano Alesi,MP Motorsport,1:50.943,+2.255,21
22,10,Guilherme Samaia,Campos Racing,1:51.375,+2.687,22
