Pos.,No.,Driver,Team,Time,Gap,Grid
1,4,Callum Ilott,UNI-Virtuosi Racing,1:28.381,,1
2,21,Robert Shwartzman,Prema Racing,1:28.564,+0.183,2
3,3,Guanyu Zhou,UNI-Virtuosi Racing,1:28.601,+0.220,3
4,15,Felipe Drugovich,MP Motorsport,1:28.767,+0.386,4
5,20,Mick Schumacher,Prema Racing,1:28.889,+0.508,5
6,7,Yuki Tsunoda,Carlin,1:28.903,+0.522,6
7,9,Jack Aitken,Campos Racing,1:28.979,+0.598,7
8,2,Dan Ticktum,DAMS,1:28.986,+0.605,8
9,24,Nikita Mazepin,Hitech Grand Prix,1:29.033,+0.652,9
10,11,Louis Delétraz,Charouz Racing System,1:29.199,+0.818,10
11,16,Artem Markelov,BWT HWA Racelab,1:29.297,+0.916,11
12,8,Jehan Daruvala,Carlin,1:29.308,+0.927,12
13,1,Sean Gelael,DAMS,1:29.316,+0.935,13
14,6,Christian Lundgaard,ART Grand Prix,1:29.333,+0.952,14
15,22,Roy Nissany,Trident,1:29.469,+1.088,15
16,23,Marino Sato,Trident,1:29.493,+1.112,16
17,12,Pedro Piquet,Charouz Racing System,1:29.524,+1.143,17
18,14,Nobuharu Matsushita,MP Motorsport,1:29.641,+1.260,18
19,5,Marcus Armstrong,ART Grand Prix,1:29.686,+1.305,19
20,25,Luca Ghiotto,Hitech Grand Prix,1:29.690,+1.309,20
21,17,Giuliano Alesi,BWT HWA Racelab,1:29.748,+1.367,21
22,10,Guilherme Samaia,Campos Racing,1:30.093,+1.712,22
