Pos.,No.,Driver,Team,Time,Gap,Grid
1,6,Christian Lundgaard,ART Grand Prix,1:30.133,,1
2,2,Dan Ticktum,DAMS,1:30.138,+0.005,2
3,4,Callum Ilott,UNI-Virtuosi,1:30.204,+0.071,3
4,5,Marcus Armstrong,ART Grand Prix,1:30.317,+0.184,4
5,15,Felipe Drugovich,MP Motorsport,1:30.339,+0.206,5
6,8,Jehan Daruvala,Carlin,1:30.437,+0.304,6
7,1,Jüri Vips,DAMS,1:30.486,+0.353,7
8,25,Luca Ghiotto,Hitech Grand Prix,1:30.508,+0.375,8
9,21,Robert Shwartzman,Prema Racing,1:30.527,+0.394,9
10,9,Jack Aitken,Campos Racing,1:30.533,+0.400,10
11,7,Yuki Tsunoda,Carlin,1:30.542,+0.409,11
12,11,Louis Delétraz,Charouz Racing System,1:30.552,+0.419,12
13,3,Guanyu Zhou,UNI-Virtuosi,1:30.586,+0.453,13
14,24,Nikita Mazepin,Hitech Grand Prix,1:30.592,+0.459,14
15,20,Mick Schumacher,Prema Racing,1:30.924,+0.791,15
16,12,Pedro Piquet,Charouz Racing System,1:30.974,+0.841,16
17,23,Marino Sato,Trident,1:31.131,+0.998,17
18,22,Roy Nissany,Trident,1:31.159,+1.026,18
19,16,Artem Markelov,BWT HWA Racelab,1:31.331,+1.198,19
20,17,Giuliano Alesi,BWT HWA Racelab,1:31.345,+1.212,20
21,14,Nobuharu Matsushita,MP Motorsport,1:31.961,+1.828,21
22,10,Guilherme Samaia,Campos Racing,1:32.359,+2.226,22
