Pos.,No.,Driver,Team,Time,Gap,Grid
1,4,Nyck de Vries,ART Grand Prix,1:32.979,–,1
2,14,Matt Parry,Koiranen GP,1:33.464,+0.485,2
3,5,Antonio Fuoco,Trident,1:33.478,+0.499,3
4,9,Jake Dennis,Arden International,1:33.548,+0.569,4
5,2,Nirei Fukuzumi,ART Grand Prix,1:33.660,+0.681,5
6,1,Charles Leclerc,ART Grand Prix,1:33.672,+0.693,6
7,11,Jack Aitken,Arden International,1:33.682,+0.703,7
8,3,Alexander Albon,ART Grand Prix,1:33.866,+0.887,8
9,20,Arjun Maini,Jenzer Motorsport,1:33.874,+0.895,9
10,17,Ralph Boschung,Koiranen GP,1:33.892,+0.913,10
11,28,Kevin Jörg,DAMS,1:33.974,+0.995,11
12,22,Álex Palou,Campos Racing,1:34.017,+1.038,12
13,16,Matevos Isaakyan,Koiranen GP,1:34.053,+1.074,13
14,6,Artur Janosz,Trident,1:34.056,+1.077,14
15,19,Richard Gonda,Jenzer Motorsport,1:34.114,+1.135,15
16,7,Giuliano Alesi,Trident,1:34.177,+1.198,16
17,10,Tatiana Calderón,Arden International,1:34.225,+1.246,17
18,24,Konstantin Tereshchenko,Campos Racing,1:34.233,+1.254,18
19,27,Jake Hughes,DAMS,1:34.322,+1.343,19
20,18,Akash Nandy,Jenzer Motorsport,1:34.462,+1.483,20
21,8,Sandy Stuvik,Trident,1:34.520,+1.541,21
22,26,Santino Ferrucci,DAMS,1:34.609,+1.630,22
23,23,Steijn Schothorst,Campos Racing,1:34.678,+1.699,23
