Pos.,No.,Driver,Team,Grid,Q1,Q2,Q3,Grid
1,77,Valtteri Bottas,Mercedes,0:53.904,0:53.803,0:53.377,1
2,63,George Russell,Mercedes,0:54.160,0:53.819,0:53.403,2
3,33,Max Verstappen,Red Bull Racing-Honda,0:54.037,0:53.647,0:53.433,3
4,16,Charles Leclerc,Ferrari,0:54.249,0:53.825,0:53.613,4
5,11,Sergio Pérez,Racing Point-BWT Mercedes,0:54.236,0:53.787,0:53.790,5
6,26,Daniil Kvyat,AlphaTauri-Honda,0:54.346,0:53.856,0:53.906,6
7,3,Daniel Ricciardo,Renault,0:54.388,0:53.871,0:53.957,7
8,55,Carlos Sainz Jr.,McLaren-Renault,0:54.450,0:53.818,0:54.010,8
9,10,Pierre Gasly,AlphaTauri-Honda,0:54.207,0:53.941,0:54.154,9
10,18,Lance Stroll,Racing Point-BWT Mercedes,0:54.595,0:53.840,0:54.200,10
11,31,Esteban Ocon,Renault,0:54.309,0:53.995,N/A,11
12,23,Alexander Albon,Red Bull Racing-Honda,0:54.620,0:54.026,N/A,12
13,5,Sebastian Vettel,Ferrari,0:54.301,0:54.175,N/A,13
14,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,0:54.523,0:54.377,N/A,14
15,4,Lando Norris,McLaren-Renault,0:54.194,0:54.693,N/A,19
16,20,Kevin Magnussen,Haas-Ferrari,0:54.705,N/A,N/A,15
17,6,Nicholas Latifi,Williams-Mercedes,0:54.796,N/A,N/A,16
18,89,Jack Aitken,Williams-Mercedes,0:54.892,N/A,N/A,17
19,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,0:54.963,N/A,N/A,18
20,51,Pietro Fittipaldi,Haas-Ferrari,0:55.426,N/A,N/A,20
