Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:14.907,1:14.261,1:13.447,1
2,77,Valtteri Bottas,Mercedes,1:15.474,1:14.530,1:13.554,2
3,18,Lance Stroll,Racing Point-BWT Mercedes,1:14.895,1:15.176,1:14.377,3
4,11,Sergio Pérez,Racing Point-BWT Mercedes,1:14.681,1:15.394,1:14.545,4
5,5,Sebastian Vettel,Ferrari,1:15.455,1:15.131,1:14.774,5
6,16,Charles Leclerc,Ferrari,1:15.793,1:15.006,1:14.817,6
7,33,Max Verstappen,Red Bull Racing-Honda,1:15.495,1:14.976,1:14.849,7
8,4,Lando Norris,McLaren-Renault,1:15.444,1:15.085,1:14.966,8
9,55,Carlos Sainz Jr.,McLaren-Renault,1:15.281,1:15.267,1:15.027,9
10,10,Pierre Gasly,AlphaTauri-Honda,1:15.767,1:15.508,No time,10
11,3,Daniel Ricciardo,Renault,1:15.848,1:15.661,N/A,11
12,63,George Russell,Williams-Mercedes,1:15.585,1:15.698,N/A,12
13,23,Alexander Albon,Red Bull Racing-Honda,1:15.722,1:15.715,N/A,13
14,31,Esteban Ocon,Renault,1:15.719,1:15.742,N/A,14
15,6,Nicholas Latifi,Williams-Mercedes,1:16.105,1:16.544,N/A,15
16,20,Kevin Magnussen,Haas-Ferrari,1:16.152,N/A,N/A,16
17,26,Daniil Kvyat,AlphaTauri-Honda,1:16.204,N/A,N/A,17
18,8,Romain Grosjean,Haas-Ferrari,1:16.407,N/A,N/A,18
19,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:16.506,N/A,N/A,19
20,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:16.614,N/A,N/A,20
