Pos.,No.,Driver,Team,Grid,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:15.778,1:15.309,1:15.144,1
2,77,Valtteri Bottas,Mercedes,1:15.749,1:15.322,1:15.203,2
3,33,Max Verstappen,Red Bull Racing-Honda,1:16.335,1:15.471,1:15.509,3
4,23,Alexander Albon,Red Bull Racing-Honda,1:16.527,1:15.914,1:15.954,4
5,16,Charles Leclerc,Ferrari,1:16.698,1:16.324,1:16.270,5
6,11,Sergio Pérez,Racing Point-BWT Mercedes,1:16.596,1:16.489,1:16.311,7
7,18,Lance Stroll,Racing Point-BWT Mercedes,1:16.701,1:16.271,1:16.356,6
8,3,Daniel Ricciardo,Renault,1:16.981,1:16.243,1:16.543,8
9,55,Carlos Sainz Jr.,McLaren-Renault,1:16.993,1:16.522,1:17.870,9
10,31,Esteban Ocon,Renault,1:16.825,1:16.297,No time,10
11,4,Lando Norris,McLaren-Renault,1:16.895,1:16.640,N/A,11
12,26,Daniil Kvyat,AlphaTauri-Honda,1:16.928,1:16.854,N/A,12
13,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:17.059,1:16.854,N/A,13
14,5,Sebastian Vettel,Ferrari,1:17.072,1:16.858,N/A,14
15,8,Romain Grosjean,Haas-Ferrari,1:17.069,1:17.254,N/A,15
16,10,Pierre Gasly,AlphaTauri-Honda,1:17.125,N/A,N/A,16
17,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:17.220,N/A,N/A,17
18,63,George Russell,Williams-Mercedes,1:17.232,N/A,N/A,18
19,6,Nicholas Latifi,Williams-Mercedes,1:17.320,N/A,N/A,19
20,20,Kevin Magnussen,Haas-Ferrari,1:17.348,N/A,N/A,20
