Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:28.343,1:27.586,1:27.264,1
2,77,Valtteri Bottas,Mercedes,1:28.767,1:28.063,1:27.553,2
3,33,Max Verstappen,Red Bull Racing-Honda,1:28.885,1:28.025,1:27.678,3
4,23,Alexander Albon,Red Bull Racing-Honda,1:28.732,1:28.749,1:28.274,4
5,11,Sergio Pérez,Racing Point-BWT Mercedes,1:29.178,1:28.894,1:28.322,5
6,3,Daniel Ricciardo,Renault,1:29.005,1:28.648,1:28.417,6
7,31,Esteban Ocon,Renault,1:29.203,1:28.937,1:28.419,7
8,10,Pierre Gasly,AlphaTauri-Honda,1:28.971,1:29.008,1:28.448,8
9,4,Lando Norris,McLaren-Renault,1:29.464,1:28.877,1:28.542,9
10,26,Daniil Kvyat,AlphaTauri-Honda,1:29.158,1:28.944,1:28.618,10
11,5,Sebastian Vettel,Ferrari,1:29.142,1:29.149,N/A,11
12,16,Charles Leclerc,Ferrari,1:29.137,1:29.165,N/A,12
13,18,Lance Stroll,Racing Point-BWT Mercedes,1:28.679,1:29.557,N/A,13
14,63,George Russell,Williams-Mercedes,1:29.294,1:31.218,N/A,14
15,55,Carlos Sainz Jr.,McLaren-Renault,1:28.975,No time,N/A,15
16,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:29.491,N/A,N/A,16
17,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:29.810,N/A,N/A,17
18,20,Kevin Magnussen,Haas-Ferrari,1:30.111,N/A,N/A,18
19,8,Romain Grosjean,Haas-Ferrari,1:30.138,N/A,N/A,19
20,6,Nicholas Latifi,Williams-Mercedes,1:30.182,N/A,N/A,20
