Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,33,Max Verstappen,Red Bull Racing-Honda,1:35.993,1:35.641,1:35.246,1
2,77,Valtteri Bottas,Mercedes,1:35.699,1:35.527,1:35.271,2
3,44,Lewis Hamilton,Mercedes,1:35.528,1:35.466,1:35.332,3
4,4,Lando Norris,McLaren-Renault,1:36.016,1:35.849,1:35.497,4
5,23,Alexander Albon,Red Bull Racing-Honda,1:36.106,1:35.654,1:35.571,5
6,55,Carlos Sainz Jr.,McLaren-Renault,1:36.517,1:36.192,1:35.815,6
7,26,Daniil Kvyat,AlphaTauri-Honda,1:36.459,1:36.214,1:35.963,7
8,18,Lance Stroll,Racing Point-BWT Mercedes,1:36.502,1:36.143,1:36.046,8
9,16,Charles Leclerc,Ferrari,1:35.881,1:35.932,1:36.065,12
10,10,Pierre Gasly,AlphaTauri-Honda,1:36.545,1:36.282,1:36.242,9
11,31,Esteban Ocon,Renault,1:36.783,1:36.359,N/A,10
12,3,Daniel Ricciardo,Renault,1:36.704,1:36.406,N/A,11
13,5,Sebastian Vettel,Ferrari,1:36.655,1:36.631,N/A,13
14,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:37.075,1:38.248,N/A,14
15,11,Sergio Pérez,Racing Point-BWT Mercedes,1:36.034,No time,N/A,19
16,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:37.555,N/A,N/A,15
17,20,Kevin Magnussen,Haas-Ferrari,1:37.836,N/A,N/A,20
18,63,George Russell,Williams-Mercedes,1:38.045,N/A,N/A,16
19,51,Pietro Fittipaldi,Haas-Ferrari,1:38.173,N/A,N/A,17
20,6,Nicholas Latifi,Williams-Mercedes,1:38.443,N/A,N/A,18
