Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:16.828,1:16.824,1:16.652,1
2,77,Valtteri Bottas,Mercedes,1:16.945,1:16.466,1:16.754,2
3,33,Max Verstappen,Red Bull Racing-Honda,1:16.879,1:17.038,1:16.904,3
4,16,Charles Leclerc,Ferrari,1:17.421,1:17.367,1:17.090,4
5,11,Sergio Pérez,Racing Point-BWT Mercedes,1:17.370,1:17.129,1:17.223,5
6,23,Alexander Albon,Red Bull Racing-Honda,1:17.435,1:17.411,1:17.437,6
7,55,Carlos Sainz Jr.,McLaren-Renault,1:17.627,1:17.183,1:17.520,7
8,4,Lando Norris,McLaren-Renault,1:17.547,1:17.321,1:17.525,8
9,10,Pierre Gasly,AlphaTauri-Honda,1:17.209,1:17.367,1:17.803,9
10,3,Daniel Ricciardo,Renault,1:17.621,1:17.481,No time,10
11,31,Esteban Ocon,Renault,1:17.775,1:17.614,N/A,11
12,18,Lance Stroll,Racing Point-BWT Mercedes,1:17.667,1:17.626,N/A,12
13,26,Daniil Kvyat,AlphaTauri-Honda,1:17.841,1:17.728,N/A,13
14,63,George Russell,Williams-Mercedes,1:17.931,1:17.788,N/A,14
15,5,Sebastian Vettel,Ferrari,1:17.446,1:17.919,N/A,15
16,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:18.201,N/A,N/A,16
17,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:18.323,N/A,N/A,17
18,8,Romain Grosjean,Haas-Ferrari,1:18.364,N/A,N/A,18
19,20,Kevin Magnussen,Haas-Ferrari,1:18.508,N/A,N/A,19
20,6,Nicholas Latifi,Williams-Mercedes,1:18.777,N/A,N/A,20
