Pos.,No.,Driver,Team,Time,Gap,Grid
1,5,Sérgio Sette Câmara,DAMS,1:43.024,–,1
2,7,Guanyu Zhou,UNI-Virtuosi,1:43.344,+0.320,2
3,15,Jack Aitken,Campos Racing,1:43.401,+0.377,3
4,4,Nyck de Vries,ART Grand Prix,1:43.453,+0.429,4
5,11,Callum Ilott,Sauber Junior Team by Charouz,1:43.565,+0.541,5
6,6,Nicholas Latifi,DAMS,1:43.650,+0.626,6
7,2,Nobuharu Matsushita,Carlin,1:43.763,+0.739,7
8,9,Mick Schumacher,Prema Racing,1:43.768,+0.744,8
9,10,Dorian Boccolacci,Campos Racing,1:43.812,+0.788,9
10,10,Sean Gelael,Prema Racing,1:43.895,+0.871,10
11,8,Luca Ghiotto,UNI-Virtuosi,1:43.983,+0.959,14
12,1,Louis Delétraz,Carlin,1:44.025,+1.001,11
13,12,Juan Manuel Correa,Sauber Junior Team by Charouz,1:44.120,+1.096,12
14,21,Ralph Boschung,Trident,1:44.371,+1.347,13
15,19,Anthoine Hubert,BWT Arden,1:44.612,+1.588,15
16,16,Jordan King,MP Motorsport,1:44.882,+1.858,16
17,18,Tatiana Calderón,BWT Arden,1:47.006,+3.982,17
18,17,Mahaveer Raghunathan,MP Motorsport,1:48.374,+5.350,18
—,20,Giuliano Alesi,Trident,no time,–,PL3
—,3,Nikita Mazepin,ART Grand Prix,no time,–,19
