Pos.,No.,Driver,Team,Time,Gap,Grid
1,4,Nyck de Vries,ART Grand Prix,1:58.304,–,1
2,5,Sérgio Sette Câmara,DAMS,1:58.576,+0.272,2
3,15,Jack Aitken,Campos Racing,1:58.785,+0.481,3
4,2,Nobuharu Matsushita,Carlin,1:58.832,+0.528,4
5,1,Louis Delétraz,Carlin,1:58.910,+0.606,5
6,9,Mick Schumacher,Prema Racing,1:59.141,+0.837,6
7,3,Nikita Mazepin,ART Grand Prix,1:59.142,+0.838,7
8,16,Jordan King,MP Motorsport,1:59.366,+1.062,11
9,7,Guanyu Zhou,UNI-Virtuosi,1:59.425,+1.121,8
10,8,Luca Ghiotto,UNI-Virtuosi,1:59.641,+1.310,9
11,6,Nicholas Latifi,DAMS,1:59.717,+1.443,10
12,20,Giuliano Alesi,Trident,1:59.961,+1.657,12
13,19,Anthoine Hubert,BWT Arden,2.00.005,+1.701,13
14,21,Ralph Boschung,Trident,2:00.030,+1.716,14
15,12,Juan Manuel Correa,Sauber Junior Team by Charouz,2:00.250,+1.936,15
16,10,Sean Gelael,Prema Racing,2:00.327,+2.023,16
17,14,Marino Sato,Campos Racing,2:01.185,+2.881,17
18,17,Mahaveer Raghunathan,MP Motorsport,2:01.226,+2.922,19
19,18,Tatiana Calderón,BWT Arden,2:03.224,+4.920,18
–,11,Callum Ilott,Sauber Junior Team by Charouz,no time,–,20
