Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,4,Lando Norris,McLaren-Mercedes,1:23.682,1:23.098,1:22.595,1
2,81,Oscar Piastri,McLaren-Mercedes,1:23.640,1:23.199,1:22.804,2
3,55,Carlos Sainz Jr.,Ferrari,1:23.487,1:22.985,1:22.824,3
4,27,Nico Hülkenberg,Haas-Ferrari,1:23.722,1:23.040,1:22.886,7
5,1,Max Verstappen,Red Bull Racing-Honda RBPT,1:23.516,1:22.998,1:22.945,4
6,10,Pierre Gasly,Alpine-Renault,1:23.548,1:23.086,1:22.984,5
7,63,George Russell,Mercedes,1:23.678,1:23.283,1:23.132,6
8,14,Fernando Alonso,Aston MartinAramco-Mercedes,1:23.794,1:23.268,1:23.196,8
9,77,Valtteri Bottas,KickSauber-Ferrari,1:23.481,1:23.341,1:23.204,9
10,11,Sergio Pérez,Red Bull Racing-Honda RBPT,1:23.559,1:23.379,1:23.264,10
11,22,Yuki Tsunoda,RB-Honda RBPT,1:23.735,1:23.419,N/A,11
12,30,Liam Lawson,RB-Honda RBPT,1:23.733,1:23.472,N/A,12
13,18,Lance Stroll,Aston MartinAramco-Mercedes,1:23.729,1:23.784,N/A,13
14,16,Charles Leclerc,Ferrari,1:23.302,1:23.833,N/A,19
15,20,Kevin Magnussen,Haas-Ferrari,1:23.632,1:23.877,N/A,14
16,23,Alexander Albon,Williams-Mercedes,1:23.821,N/A,N/A,18
17,24,Zhou Guanyu,KickSauber-Ferrari,1:23.880,N/A,N/A,15
18,44,Lewis Hamilton,Mercedes,1:23.887,N/A,N/A,16
19,43,Franco Colapinto,Williams-Mercedes,1:23.912,N/A,N/A,20
20,61,Jack Doohan,Alpine-Renault,1:24.105,N/A,N/A,17
