Pos.,No.,Driver,Team,Grid,Q1,Q2,Q3,Grid
1,16,Charles Leclerc,Ferrari,1:42.775,1:42.056,1:41.365,1
2,81,Oscar Piastri,McLaren-Mercedes,1:43.033,1:42.598,1:41.686,2
3,55,Carlos Sainz Jr.,Ferrari,1:43.357,1:42.503,1:41.805,3
4,11,Sergio Pérez,Red Bull Racing-Honda RBPT,1:43.213,1:42.263,1:41.813,4
5,63,George Russell,Mercedes,1:43.139,1:42.329,1:41.874,5
6,1,Max Verstappen,Red Bull Racing-Honda RBPT,1:43.097,1:42.042,1:42.023,6
7,44,Lewis Hamilton,Mercedes,1:43.089,1:42.765,1:42.289,PL
8,14,Fernando Alonso,Aston MartinAramco-Mercedes,1:43.472,1:42.426,1:42.369,7
9,43,Franco Colapinto,Williams-Mercedes,1:43.138,1:42.473,1:42.530,8
10,23,Alexander Albon,Williams-Mercedes,1:42.899,1:42.840,1:42.859,9
11,50,Oliver Bearman,Haas-Ferrari,1:43.471,1:42.968,N/A,10
12,22,Yuki Tsunoda,RB-Honda RBPT,1:43.337,1:43.035,N/A,11
13,27,Nico Hülkenberg,Haas-Ferrari,1:43.101,1:43.191,N/A,12
14,18,Lance Stroll,Aston MartinAramco-Mercedes,1:43.370,1:43.404,N/A,13
15,3,Daniel Ricciardo,RB-Honda RBPT,1:43.547,N/A,N/A,14
16,4,Lando Norris,McLaren-Mercedes,1:43.609,N/A,N/A,15
17,77,Valtteri Bottas,KickSauber-Ferrari,1:43.618,N/A,N/A,16
18,24,Zhou Guanyu,KickSauber-Ferrari,1:44.246,N/A,N/A,17
19,31,Esteban Ocon,Alpine-Renault,1:44.504,N/A,N/A,PL
DSQ,10,Pierre Gasly,Alpine-Renault,1:43.088,1:43.179,N/A,18
