Pos.,No.,Driver,Team,Grid,Q1,Q2,Q3,Grid
1,1,Max Verstappen,Red Bull Racing-Honda RBPT,1:34.742,1:33.794,1:33.660,1
2,11,Sergio Pérez,Red Bull Racing-Honda RBPT,1:35.457,1:34.026,1:33.982,2
3,14,Fernando Alonso,Aston MartinAramco-Mercedes,1:35.116,1:34.652,1:34.148,3
4,4,Lando Norris,McLaren-Mercedes,1:34.842,1:34.460,1:34.165,4
5,81,Oscar Piastri,McLaren-Mercedes,1:35.014,1:34.659,1:34.273,5
6,16,Charles Leclerc,Ferrari,1:34.797,1:34.399,1:34.289,6
7,55,Carlos Sainz Jr.,Ferrari,1:34.970,1:34.368,1:34.297,7
8,63,George Russell,Mercedes,1:35.084,1:34.609,1:34.433,8
9,27,Nico Hülkenberg,Haas-Ferrari,1:35.068,1:34.667,1:34.604,9
10,77,Valtteri Bottas,KickSauber-Ferrari,1:35.169,1:34.769,1:34.665,10
11,18,Lance Stroll,Aston MartinAramco-Mercedes,1:35.334,1:34.838,N/A,11
12,3,Daniel Ricciardo,RB-Honda RBPT,1:35.443,1:34.934,N/A,12
13,31,Esteban Ocon,Alpine-Renault,1:35.356,1:35.223,N/A,13
14,23,Alexander Albon,Williams-Mercedes,1:35.384,1:35.241,N/A,14
15,10,Pierre Gasly,Alpine-Renault,1:35.287,1:35.463,N/A,15
16,24,Zhou Guanyu,KickSauber-Ferrari,1:35.505,N/A,N/A,16
17,20,Kevin Magnussen,Haas-Ferrari,1:35.516,N/A,N/A,17
18,44,Lewis Hamilton,Mercedes,1:35.573,N/A,N/A,18
19,22,Yuki Tsunoda,RB-Honda RBPT,1:35.746,N/A,N/A,19
20,2,Logan Sargeant,Williams-Mercedes,1:36.358,N/A,N/A,PL
