Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,4,Lando Norris,McLaren-Mercedes,1:33.616,1:32.851,1:32.330,1
2,1,Max Verstappen,Red Bull Racing-Honda RBPT,1:33.046,1:32.584,1:32.361,2
3,55,Carlos Sainz Jr.,Ferrari,1:33.556,1:32.836,1:32.652,3
4,16,Charles Leclerc,Ferrari,1:33.241,1:32.962,1:32.740,4
5,81,Oscar Piastri,McLaren-Mercedes,1:33.864,1:33.057,1:32.950,5
6,63,George Russell,Mercedes,1:33.536,1:33.142,1:32.974,PL
7,10,Pierre Gasly,Alpine-Renault,1:33.550,1:33.162,1:33.018,6
8,14,Fernando Alonso,Aston MartinAramco-Mercedes,1:33.973,1:33.429,1:33.309,7
9,20,Kevin Magnussen,Haas-Ferrari,1:33.564,1:33.474,1:33.481,8
10,11,Sergio Pérez,Red Bull Racing-Honda RBPT,1:33.611,1:33.020,No time,9
11,22,Yuki Tsunoda,RB-Honda RBPT,1:33.795,1:33.506,N/A,10
12,27,Nico Hülkenberg,Haas-Ferrari,1:33.601,1:33.544,N/A,11
13,31,Esteban Ocon,Alpine-Renault,1:33.986,1:33.597,N/A,12
14,18,Lance Stroll,Aston MartinAramco-Mercedes,1:34.033,1:33.759,N/A,13
15,30,Liam Lawson,RB-Honda RBPT,1:33.339,No time,N/A,19
16,23,Alexander Albon,Williams-Mercedes,1:34.051,N/A,N/A,14
17,43,Franco Colapinto,Williams-Mercedes,1:34.062,N/A,N/A,15
18,77,Valtteri Bottas,KickSauber-Ferrari,1:34.152,N/A,N/A,16
19,44,Lewis Hamilton,Mercedes,1:34.154,N/A,N/A,17
20,24,Zhou Guanyu,KickSauber-Ferrari,1:34.228,N/A,N/A,18
