Pos.,No.,Driver,Team,Time,Gap,Grid
1,5,Alexander Albon,DAMS,1:21.727,—,1
1,4,Nyck de Vries,Pertamina Prema Theodore Racing,1:21.737,—,2
2,1,Artem Markelov,Russian Time,1:21.834,+0.107,3
3,21,Antonio Fuoco,Charouz Racing System,1:21.948,+0.221,4
3,14,Luca Ghiotto,Campos Vexatec Racing,1:22.241,+0.504,5
4,17,Santino Ferrucci,Trident,1:22.408,+0.681,6
4,16,Arjun Maini,Trident,1:22.263,+0.526,7
5,9,Roberto Merhi,MP Motorsport,1:22.569,+0.842,8
5,10,Ralph Boschung,MP Motorsport,1:22.307,+0.570,9
6,7,Jack Aitken,ART Grand Prix,1:22.597,+0.870,10
6,2,Tadasuke Makino,Russian Time,1:22.420,+0.683,11
7,3,Sean Gelael,Pertamina Prema Theodore Racing,1:22.654,+0.927,12
7,12,Nirei Fukuzumi,BWT Arden,1:22.707,+0.970,13
8,20,Louis Delétraz,Charouz Racing System,1:22.717,+0.980,14
9,15,Roy Nissany,Campos Vexatec Racing,1:23.796,+2.069,15
9,8,George Russell,ART Grand Prix,1:22.977,+1.240,16
8,19,Lando Norris,Carlin,1:22.663,+0.936,17
10,6,Nicholas Latifi,DAMS,1:23.157,+1.420,18
DSQ,11,Maximilian Günther,BWT Arden,1:22.194,+0.467,PL2
2,18,Sérgio Sette Câmara,Carlin,1:21.901,+0.326,WD3
