Pos.,No.,Driver,Team,Time,Gap,Grid
1,7,Frederik Vesti,Prema Racing,1:21.053,–,1
1,6,Victor Martins,ART Grand Prix,1:21.231,–,2
2,5,Théo Pourchaire,ART Grand Prix,1:21.105,+0.052,3
2,14,Jack Doohan,Invicta Virtuosi Racing,1:21.432,+0.201,4
3,3,Zane Maloney,Rodin Carlin,1:21.463,+0.410,5
3,22,Richard Verschoor,Van Amersfoort Racing,1:21.639,+0.408,6
4,9,Jak Crawford,Hitech Pulse-Eight,1:21.576,+0.523,7
4,2,Jehan Daruvala,MP Motorsport,1:21.642,+0.411,8
5,11,Ayumu Iwasa,DAMS,1:21.796,+0.743,9
5,10,Isack Hadjar,Hitech Pulse-Eight,1:21.645,+0.414,10
6,15,Amaury Cordeel,Invicta Virtuosi Racing,1:21.809,+0.756,11
6,24,Kush Maini,Campos Racing,1:21.820,+0.589,12
7,23,Juan Manuel Correa,Van Amersfoort Racing,1:21.835,+0.782,13
7,4,Enzo Fittipaldi,Rodin Carlin,1:21.824,+0.593,14
8,21,Clément Novalak,Trident,1:22.088,+1.035,15
8,8,Oliver Bearman,Prema Racing,1:22.201,+0.970,16
9,1,Dennis Hauger,MP Motorsport,1:22.097,+1.044,17
9,16,Roy Nissany,PHM RacingbyCharouz,1:22.804,+1.573,18
10,25,Ralph Boschung,Campos Racing,1:22.182,+1.129,19
10,12,Arthur Leclerc,DAMS,1:23.340,+2.109,20
11,17,Brad Benavides,PHM RacingbyCharouz,1:22.721,+1.668,21
11,20,Roman Staněk,Trident,1:24.600,+3.639,22
