Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,5,Sebastian Vettel,Red Bull-Renault,1:24.774,1:24.096,1:23.919,1
2,6,Mark Webber,Red Bull-Renault,1:25.286,1:24.276,1:24.035,2
3,8,Fernando Alonso,Ferrari,1:25.082,1:24.335,1:24.111,3
4,1,Jenson Button,McLaren-Mercedes,1:24.897,1:24.531,1:24.675,4
5,7,Felipe Massa,Ferrari,1:25.548,1:25.010,1:24.837,5
6,4,Nico Rosberg,Mercedes,1:24.788,1:24.788,1:24.884,6
7,3,Michael Schumacher,Mercedes,1:25.351,1:24.871,1:24.927,7
8,9,Rubens Barrichello,Williams-Cosworth,1:25.702,1:25.085,1:25.217,8
9,11,Robert Kubica,Renault,1:25.588,1:25.122,1:25.372,9
10,14,Adrian Sutil,Force India-Mercedes,1:25.504,1:25.046,1:26.036,10
11,2,Lewis Hamilton,McLaren-Mercedes,1:25.046,1:25.184,,11
12,16,Sébastien Buemi,Toro Rosso-Ferrari,1:26.061,1:25.638,,12
13,15,Vitantonio Liuzzi,Force India-Mercedes,1:26.170,1:25.743,,13
14,22,Pedro de la Rosa,BMW Sauber-Ferrari,1:26.089,1:25.747,,14
15,10,Nico Hülkenberg,Williams-Cosworth,1:25.866,1:25.748,,15
16,23,Kamui Kobayashi,BMW Sauber-Ferrari,1:26.251,1:25.777,,16
17,17,Jaime Alguersuari,Toro Rosso-Ferrari,1:26.095,1:26.089,,17
18,12,Vitaly Petrov,Renault,1:26.471,,,18
19,19,Heikki Kovalainen,Lotus-Cosworth,1:28.797,,,19
20,18,Jarno Trulli,Lotus-Cosworth,1:29.111,,,PL
21,24,Timo Glock,Virgin-Cosworth,1:29.592,,,PL
22,25,Lucas di Grassi,Virgin-Cosworth,1:30.185,,,PL
23,21,Bruno Senna,HRT-Cosworth,1:30.526,,,21
24,20,Karun Chandhok,HRT-Cosworth,1:30.613,,,22
