Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,5,Sebastian Vettel,Red Bull-Renault,1:55.029,1:53.883,1:54.101,1
2,7,Felipe Massa,Ferrari,1:55.313,1:54.331,1:54.242,2
3,8,Fernando Alonso,Ferrari,1:54.612,1:54.172,1:54.608,3
4,2,Lewis Hamilton,McLaren-Mercedes,1:55.341,1:54.707,1:55.217,4
5,4,Nico Rosberg,Mercedes,1:55.463,1:54.682,1:55.241,5
6,6,Mark Webber,Red Bull-Renault,1:55.298,1:54.318,1:55.284,6
7,3,Michael Schumacher,Mercedes,1:55.593,1:55.105,1:55.524,7
8,1,Jenson Button,McLaren-Mercedes,1:55.715,1:55.168,1:55.672,8
9,11,Robert Kubica,Renault,1:55.511,1:54.963,1:55.885,9
10,14,Adrian Sutil,Force India-Mercedes,1:55.213,1:54.996,1:56.309,10
11,9,Rubens Barrichello,Williams-Cosworth,1:55.969,1:55.330,,11
12,15,Vitantonio Liuzzi,Force India-Mercedes,1:55.628,1:55.623,,12
13,10,Nico Hülkenberg,Williams-Cosworth,1:56.375,1:55.857,,13
14,22,Pedro de la Rosa,BMW Sauber-Ferrari,1:56.428,1:56.237,,14
15,16,Sébastien Buemi,Toro Rosso-Ferrari,1:56.189,1:56.265,,15
16,23,Kamui Kobayashi,BMW Sauber-Ferrari,1:56.541,1:56.270,,16
17,12,Vitaly Petrov,Renault,1:56.167,1:56.619,,17
18,17,Jaime Alguersuari,Toro Rosso-Ferrari,1:57.071,,,18
19,24,Timo Glock,Virgin-Cosworth,1:59.728,,,19
20,18,Jarno Trulli,Lotus-Cosworth,1:59.852,,,20
21,19,Heikki Kovalainen,Lotus-Cosworth,2:00.313,,,21
22,25,Lucas di Grassi,Virgin-Cosworth,2:00.587,,,22
23,21,Bruno Senna,HRT-Cosworth,2:03.240,,,PL
24,20,Karun Chandhok,HRT-Cosworth,2:04.904,,,PL
