Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,2,Lewis Hamilton,McLaren-Mercedes,1:15.889,1:15.528,1:15.105,1
2,6,Mark Webber,Red Bull-Renault,1:16.423,1:15.692,1:15.373,7
3,5,Sebastian Vettel,Red Bull-Renault,1:16.129,1:15.556,1:15.420,2
4,8,Fernando Alonso,Ferrari,1:16.171,1:15.597,1:15.435,3
5,1,Jenson Button,McLaren-Mercedes,1:16.371,1:15.742,1:15.520,4
6,15,Vitantonio Liuzzi,Force India-Mercedes,1:17.086,1:16.171,1:15.648,5
7,7,Felipe Massa,Ferrari,1:16.673,1:16.314,1:15.688,6
8,11,Robert Kubica,Renault,1:16.370,1:15.682,1:15.715,8
9,14,Adrian Sutil,Force India-Mercedes,1:16.495,1:16.295,1:15.881,9
10,4,Nico Rosberg,Mercedes,1:16.350,1:16.001,1:16.071,10
11,9,Rubens Barrichello,Williams-Cosworth,1:16.880,1:16.434,,11
12,10,Nico Hülkenberg,Williams-Cosworth,1:16.770,1:16.438,,12
13,3,Michael Schumacher,Mercedes,1:16.598,1:16.492,,13
14,12,Vitaly Petrov,Renault,1:16.569,1:16.844,,14
15,16,Sébastien Buemi,Toro Rosso-Ferrari,1:17.356,1:16.928,,15
16,17,Jaime Alguersuari,Toro Rosso-Ferrari,1:17.027,1:17.029,,16
17,22,Pedro de la Rosa,BMW Sauber-Ferrari,1:17.611,1:17.384,,17
18,23,Kamui Kobayashi,BMW Sauber-Ferrari,1:18.019,,,18
19,19,Heikki Kovalainen,Lotus-Cosworth,1:18.237,,,19
20,18,Jarno Trulli,Lotus-Cosworth,1:18.698,,,20
21,24,Timo Glock,Virgin-Cosworth,1:18.941,,,21
22,21,Bruno Senna,HRT-Cosworth,1:19.484,,,22
23,25,Lucas di Grassi,Virgin-Cosworth,1:19.675,,,23
24,20,Karun Chandhok,HRT-Cosworth,1:27.757,,,24
