Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,6,Mark Webber,Red Bull-Renault,1:27.500,1:26.818,1:26.295,1
2,2,Lewis Hamilton,McLaren-Mercedes,1:27.667,1:27.013,1:26.433,2
3,5,Sebastian Vettel,Red Bull-Renault,1:27.067,1:26.729,1:26.760,3
4,1,Jenson Button,McLaren-Mercedes,1:27.555,1:27.277,1:26.781,4
5,3,Michael Schumacher,Mercedes,1:27.756,1:27.438,1:26.857,5
6,4,Nico Rosberg,Mercedes,1:27.649,1:27.141,1:26.952,6
7,11,Robert Kubica,Renault,1:27.766,1:27.426,1:27.039,7
8,7,Felipe Massa,Ferrari,1:27.993,1:27.200,1:27.082,8
9,12,Vitaly Petrov,Renault,1:27.620,1:27.387,1:27.430,9
10,23,Kamui Kobayashi,BMW Sauber-Ferrari,1:28.158,1:27.434,1:28.122,10
11,14,Adrian Sutil,Force India-Mercedes,1:27.951,1:27.525,N/A,11
12,8,Fernando Alonso,Ferrari,1:27.857,1:27.612,N/A,12
13,22,Pedro de la Rosa,BMW Sauber-Ferrari,1:28.147,1:27.879,N/A,13
14,16,Sébastien Buemi,Toro Rosso-Ferrari,1:28.534,1:28.273,N/A,14
15,9,Rubens Barrichello,Williams-Cosworth,1:28.336,1:28.392,N/A,15
16,17,Jaime Alguersuari,Toro Rosso-Ferrari,1:28.460,1:28.540,N/A,16
17,10,Nico Hülkenberg,Williams-Cosworth,1:28.227,1:28.841,N/A,17
18,15,Vitantonio Liuzzi,Force India-Mercedes,1:28.958,N/A,N/A,18
19,18,Jarno Trulli,Lotus-Cosworth,1:30.237,N/A,N/A,19
20,19,Heikki Kovalainen,Lotus-Cosworth,1:30.519,N/A,N/A,20
21,24,Timo Glock,Virgin-Cosworth,1:30.744,N/A,N/A,21
22,21,Bruno Senna,HRT-Cosworth,1:31.266,N/A,N/A,22
23,25,Lucas di Grassi,Virgin-Cosworth,1:31.989,N/A,N/A,PL
24,20,Karun Chandhok,HRT-Cosworth,1:32.060,N/A,N/A,24
