Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,6,Mark Webber,Red Bull-Renault,1:57.352,1:47.253,1:45.778,1
2,2,Lewis Hamilton,McLaren-Mercedes,1:56.706,1:46.211,1:45.863,2
3,11,Robert Kubica,Renault,1:56.041,1:47.320,1:46.100,3
4,5,Sebastian Vettel,Red Bull-Renault,1:58.487,1:47.245,1:46.127,4
5,1,Jenson Button,McLaren-Mercedes,1:57.981,1:46.790,1:46.206,5
6,7,Felipe Massa,Ferrari,1:58.323,1:47.322,1:46.314,6
7,9,Rubens Barrichello,Williams-Cosworth,1:55.757,1:47.797,1:46.602,7
8,14,Adrian Sutil,Force India-Mercedes,1:58.730,1:47.292,1:46.659,8
9,10,Nico Hülkenberg,Williams-Cosworth,1:55.442,1:47.821,1:47.053,9
10,8,Fernando Alonso,Ferrari,1:57.023,1:47.544,1:47.441,10
11,3,Michael Schumacher,Mercedes,1:56.313,1:47.874,N/A,21
12,4,Nico Rosberg,Mercedes,1:54.826,1:47.885,N/A,14
13,17,Jaime Alguersuari,Toro Rosso-Ferrari,1:58.944,1:48.267,N/A,11
14,15,Vitantonio Liuzzi,Force India-Mercedes,2:01.102,1:48.680,N/A,12
15,16,Sébastien Buemi,Toro Rosso-Ferrari,2:00.386,1:49.209,N/A,16
16,19,Heikki Kovalainen,Lotus-Cosworth,2:01.343,1:50.980,N/A,13
17,24,Timo Glock,Virgin-Cosworth,2:01.316,1:52.049,N/A,20
18,18,Jarno Trulli,Lotus-Cosworth,2:01.491,N/A,N/A,15
19,23,Kamui Kobayashi,BMW Sauber-Ferrari,2:02.284,N/A,N/A,17
20,21,Bruno Senna,HRT-Cosworth,2:03.612,N/A,N/A,18
21,20,Sakon Yamamoto,HRT-Cosworth,2:03.941,N/A,N/A,19
22,22,Pedro de la Rosa,BMW Sauber-Ferrari,2:05.294,N/A,N/A,24
23,25,Lucas di Grassi,Virgin-Cosworth,2:18.754,N/A,N/A,22
24,12,Vitaly Petrov,Renault,No time,N/A,N/A,23
