Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,8,Fernando Alonso,Ferrari,1:22.646,1:22.297,1:21.962,1
2,1,Jenson Button,McLaren-Mercedes,1:23.085,1:22.354,1:22.084,2
3,7,Felipe Massa,Ferrari,1:22.421,1:22.610,1:22.293,3
4,6,Mark Webber,Red Bull-Renault,1:23.431,1:22.706,1:22.433,4
5,2,Lewis Hamilton,McLaren-Mercedes,1:22.830,1:22.394,1:22.623,5
6,5,Sebastian Vettel,Red Bull-Renault,1:23.235,1:22.701,1:22.675,6
7,4,Nico Rosberg,Mercedes,1:23.529,1:23.055,1:23.027,7
8,10,Nico Hülkenberg,Williams-Cosworth,1:23.516,1:22.989,1:23.037,8
9,11,Robert Kubica,Renault,1:23.234,1:22.880,1:23.039,9
10,9,Rubens Barrichello,Williams-Cosworth,1:23.695,1:23.142,1:23.328,10
11,14,Adrian Sutil,Force India-Mercedes,1:23.493,1:23.199,,11
12,3,Michael Schumacher,Mercedes,1:23.840,1:23.388,,12
13,23,Kamui Kobayashi,BMW Sauber-Ferrari,1:24.273,1:23.659,,13
14,16,Sébastien Buemi,Toro Rosso-Ferrari,1:23.744,1:23.681,,14
15,12,Vitaly Petrov,Renault,1:24.086,1:23.819,,20
16,17,Jaime Alguersuari,Toro Rosso-Ferrari,1:24.083,1:23.919,,15
17,22,Pedro de la Rosa,BMW Sauber-Ferrari,1:24.442,1:24.044,,16
18,18,Jarno Trulli,Lotus-Cosworth,1:25.540,,,17
19,19,Heikki Kovalainen,Lotus-Cosworth,1:25.742,,,18
20,15,Vitantonio Liuzzi,Force India-Mercedes,1:25.774,,,19
21,24,Timo Glock,Virgin-Cosworth,1:25.934,,,24
22,25,Lucas di Grassi,Virgin-Cosworth,1:25.974,,,21
23,21,Bruno Senna,HRT-Cosworth,1:26.847,,,22
24,20,Sakon Yamamoto,HRT-Cosworth,1:27.020,,,23
