Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,5,Sebastian Vettel,Red Bull-Renault,1:37.123,1:36.074,1:35.585,1
2,6,Mark Webber,Red Bull-Renault,1:37.373,1:36.039,1:35.659,2
3,8,Fernando Alonso,Ferrari,1:37.144,1:36.287,1:35.766,3
4,2,Lewis Hamilton,McLaren-Mercedes,1:37.113,1:36.197,1:36.062,4
5,4,Nico Rosberg,Mercedes,1:37.708,1:36.791,1:36.535,5
6,7,Felipe Massa,Ferrari,1:37.515,1:36.169,1:36.571,6
7,1,Jenson Button,McLaren-Mercedes,1:38.123,1:37.064,1:36.731,7
8,11,Robert Kubica,Renault,1:37.703,1:37.179,1:36.824,8
9,3,Michael Schumacher,Mercedes,1:37.980,1:37.077,1:36.950,9
10,9,Rubens Barrichello,Williams-Cosworth,1:38.257,1:37.511,1:36.998,10
11,10,Nico Hülkenberg,Williams-Cosworth,1:38.115,1:37.620,N/A,11
12,23,Kamui Kobayashi,BMW Sauber-Ferrari,1:38.429,1:37.643,N/A,12
13,22,Nick Heidfeld,BMW Sauber-Ferrari,1:38.171,1:37.715,N/A,13
14,14,Adrian Sutil,Force India-Mercedes,1:38.572,1:37.783,N/A,14
15,12,Vitaly Petrov,Renault,1:38.174,1:37.799,N/A,20
16,17,Jaime Alguersuari,Toro Rosso-Ferrari,1:38.583,1:37.853,N/A,15
17,16,Sébastien Buemi,Toro Rosso-Ferrari,1:38.621,1:38.594,N/A,16
18,15,Vitantonio Liuzzi,Force India-Mercedes,1:38.955,N/A,N/A,17
19,18,Jarno Trulli,Lotus-Cosworth,1:40.521,N/A,N/A,18
20,24,Timo Glock,Virgin-Cosworth,1:40.748,N/A,N/A,19
21,19,Heikki Kovalainen,Lotus-Cosworth,1:41.768,N/A,N/A,21
22,25,Lucas di Grassi,Virgin-Cosworth,1:42.325,N/A,N/A,22
23,20,Sakon Yamamoto,HRT-Cosworth,1:42.444,N/A,N/A,23
24,21,Bruno Senna,HRT-Cosworth,1:43.283,N/A,N/A,24
