Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,5,Sebastian Vettel,Red Bull-Renault,1:32.035,1:31.184,1:30.785,1
2,6,Mark Webber,Red Bull-Renault,1:32.476,1:31.241,1:30.853,2
3,2,Lewis Hamilton,McLaren-Mercedes,1:32.809,1:31.523,1:31.169,8
4,11,Robert Kubica,Renault,1:32.808,1:32.042,1:31.231,3
5,8,Fernando Alonso,Ferrari,1:32.555,1:31.819,1:31.352,4
6,1,Jenson Button,McLaren-Mercedes,1:32.636,1:31.763,1:31.378,5
7,4,Nico Rosberg,Mercedes,1:32.238,1:31.886,1:31.494,6
8,9,Rubens Barrichello,Williams-Cosworth,1:32.361,1:31.874,1:31.535,7
9,10,Nico Hülkenberg,Williams-Cosworth,1:32.211,1:31.926,1:31.559,9
10,3,Michael Schumacher,Mercedes,1:32.513,1:32.073,1:31.846,10
11,22,Nick Heidfeld,BMW Sauber-Ferrari,1:33.011,1:32.187,N/A,11
12,7,Felipe Massa,Ferrari,1:32.721,1:32.321,N/A,12
13,12,Vitaly Petrov,Renault,1:32.849,1:32.422,N/A,13
14,23,Kamui Kobayashi,BMW Sauber-Ferrari,1:32.783,1:32.427,N/A,14
15,14,Adrian Sutil,Force India-Mercedes,1:33.186,1:32.659,N/A,15
16,17,Jaime Alguersuari,Toro Rosso-Ferrari,1:33.471,1:33.071,N/A,16
17,15,Vitantonio Liuzzi,Force India-Mercedes,1:33.216,1:33.154,N/A,17
18,16,Sébastien Buemi,Toro Rosso-Ferrari,1:33.568,N/A,N/A,18
19,18,Jarno Trulli,Lotus-Cosworth,1:35.346,N/A,N/A,19
20,19,Heikki Kovalainen,Lotus-Cosworth,1:35.464,N/A,N/A,20
21,25,Lucas di Grassi,Virgin-Cosworth,1:36.265,N/A,N/A,21
22,24,Timo Glock,Virgin-Cosworth,1:36.332,N/A,N/A,22
23,21,Bruno Senna,HRT-Cosworth,1:37.270,N/A,N/A,23
24,20,Sakon Yamamoto,HRT-Cosworth,1:37.365,N/A,N/A,24
