Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,5,Sebastian Vettel,Red Bull-Renault,1:30.841,1:30.480,1:29.615,1
2,6,Mark Webber,Red Bull-Renault,1:30.858,1:30.114,1:29.758,2
3,8,Fernando Alonso,Ferrari,1:30.997,1:30.700,1:30.426,3
4,2,Lewis Hamilton,McLaren-Mercedes,1:31.297,1:31.118,1:30.556,4
5,4,Nico Rosberg,Mercedes,1:31.626,1:31.085,1:30.625,5
6,11,Robert Kubica,Renault,1:31.680,1:31.344,1:31.040,6
7,7,Felipe Massa,Ferrari,1:31.313,1:31.010,1:31.172,7
8,9,Rubens Barrichello,Williams-Cosworth,1:31.424,1:31.126,1:31.175,8
9,22,Pedro de la Rosa,BMW Sauber-Ferrari,1:31.533,1:31.327,1:31.274,9
10,3,Michael Schumacher,Mercedes,1:32.058,1:31.022,1:31.430,10
11,14,Adrian Sutil,Force India-Mercedes,1:31.109,1:31.399,,11
12,23,Kamui Kobayashi,BMW Sauber-Ferrari,1:31.851,1:31.421,,12
13,10,Nico Hülkenberg,Williams-Cosworth,1:32.144,1:31.635,,13
14,1,Jenson Button,McLaren-Mercedes,1:31.435,1:31.699,,14
15,15,Vitantonio Liuzzi,Force India-Mercedes,1:32.226,1:31.708,,20
16,12,Vitaly Petrov,Renault,1:31.638,1:31.796,,15
17,16,Sébastien Buemi,Toro Rosso-Ferrari,1:31.901,1:32.012,,16
18,17,Jaime Alguersuari,Toro Rosso-Ferrari,1:32.430,,,17
19,19,Heikki Kovalainen,Lotus-Cosworth,1:34.405,,,18
20,24,Timo Glock,Virgin-Cosworth,1:34.775,,,19
21,18,Jarno Trulli,Lotus-Cosworth,1:34.864,,,21
22,25,Lucas di Grassi,Virgin-Cosworth,1:35.212,,,22
23,20,Karun Chandhok,HRT-Cosworth,1:36.576,,,23
24,21,Sakon Yamamoto,HRT-Cosworth,1:36.968,,,24
