Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Sebastian Vettel,Red Bull Racing-Renault,1:46.397,1:44.931,1:44.381,1
2,2,Mark Webber,Red Bull Racing-Renault,1:47.332,1:45.651,1:44.732,2
3,4,Jenson Button,McLaren-Mercedes,1:46.956,1:45.472,1:44.804,3
4,3,Lewis Hamilton,McLaren-Mercedes,1:47.014,1:46.829,1:44.809,4
5,5,Fernando Alonso,Ferrari,1:47.054,1:45.779,1:44.874,5
6,6,Felipe Massa,Ferrari,1:47.945,1:45.955,1:45.800,6
7,8,Nico Rosberg,Mercedes,1:47.688,1:46.405,1:46.013,7
8,7,Michael Schumacher,Mercedes,1:48.819,1:46.043,no time,8
9,14,Adrian Sutil,Force India-Mercedes,1:47.952,1:47.093,no time,9
10,15,Paul di Resta,Force India-Mercedes,1:48.022,1:47.486,no time,10
11,17,Sergio Pérez,Sauber-Ferrari,1:47.717,1:47.616,,11
12,11,Rubens Barrichello,Williams-Cosworth,1:48.061,1:48.082,,12
13,12,Pastor Maldonado,Williams-Cosworth,1:49.710,1:48.270,,13
14,18,Sébastien Buemi,Toro Rosso-Ferrari,1:48.753,1:48.634,,14
15,9,Bruno Senna,Renault,1:48.861,1:48.662,,15
16,19,Jaime Alguersuari,Toro Rosso-Ferrari,1:49.588,1:49.862,,16
17,16,Kamui Kobayashi,Sauber-Ferrari,1:48.054,no time,,17
18,10,Vitaly Petrov,Renault,1:49.835,,,18
19,20,Heikki Kovalainen,Lotus-Renault,1:50.948,,,19
20,21,Jarno Trulli,Lotus-Renault,1:51.012,,,20
21,24,Timo Glock,Virgin-Cosworth,1:52.154,,,21
22,25,Jérôme d'Ambrosio,Virgin-Cosworth,1:52.363,,,22
23,22,Daniel Ricciardo,HRT-Cosworth,1:52.404,,,23
24,23,Vitantonio Liuzzi,HRT-Cosworth,1:52.810,,,24
