Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Sebastian Vettel,Red Bull Racing-Renault,1:15.606,1:14.277,1:13.556,1
2,4,Jenson Button,McLaren-Mercedes,1:15.397,1:14.545,1:13.997,2
3,2,Mark Webber,Red Bull Racing-Renault,1:16.087,1:14.742,1:14.019,3
4,5,Fernando Alonso,Ferrari,1:16.051,1:14.569,1:14.483,4
5,7,Michael Schumacher,Mercedes,1:16.092,1:14.981,1:14.682,5
6,6,Felipe Massa,Ferrari,1:16.309,1:14.648,1:14.877,6
7,8,Nico Rosberg,Mercedes,1:15.858,1:14.741,1:15.766,7
8,12,Pastor Maldonado,Williams-Cosworth,1:15.819,1:15.545,1:16.528,8
9,3,Lewis Hamilton,McLaren-Mercedes,1:15.207,1:14.275,no time,9
10,17,Sergio Pérez,Sauber-Ferrari,1:15.918,1:15.482,no time,DNS
11,10,Vitaly Petrov,Renault,1:16.378,1:15.815,,10
12,11,Rubens Barrichello,Williams-Cosworth,1:16.616,1:15.826,,11
13,16,Kamui Kobayashi,Sauber-Ferrari,1:16.513,1:15.973,,12
14,15,Paul di Resta,Force India-Mercedes,1:16.813,1:16.118,,13
15,14,Adrian Sutil,Force India-Mercedes,1:16.600,1:16.121,,14
16,9,Nick Heidfeld,Renault,1:16.681,1:16.214,,15
17,18,Sébastien Buemi,Toro Rosso-Ferrari,1:16.358,1:16.300,,16
18,20,Heikki Kovalainen,Lotus-Renault,1:17.343,,,17
19,21,Jarno Trulli,Lotus-Renault,1:17.381,,,18
20,19,Jaime Alguersuari,Toro Rosso-Ferrari,1:17.820,,,19
21,24,Timo Glock,Virgin-Cosworth,1:17.914,,,20
22,25,Jérôme d'Ambrosio,Virgin-Cosworth,1:18.736,,,21
23,22,Narain Karthikeyan,HRT-Cosworth,no time,,,22
24,23,Vitantonio Liuzzi,HRT-Cosworth,no time,,,23
