Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,2,Mark Webber,Red Bull Racing-Renault,1:23.619,1:21.773,1:20.981,1
2,1,Sebastian Vettel,Red Bull Racing-Renault,1:24.142,1:21.540,1:21.181,2
3,3,Lewis Hamilton,McLaren-Mercedes,1:24.370,1:22.148,1:21.961,3
4,5,Fernando Alonso,Ferrari,1:23.485,1:22.813,1:21.964,4
5,4,Jenson Button,McLaren-Mercedes,1:24.428,1:22.050,1:21.996,5
6,10,Vitaly Petrov,Renault,1:23.069,1:22.948,1:22.471,6
7,8,Nico Rosberg,Mercedes,1:23.507,1:22.569,1:22.599,7
8,6,Felipe Massa,Ferrari,1:23.506,1:23.026,1:22.888,8
9,12,Pastor Maldonado,Williams-Cosworth,1:23.406,1:22.854,1:22.952,9
10,7,Michael Schumacher,Mercedes,1:22.960,1:22.671,no time,10
11,18,Sébastien Buemi,Toro Rosso-Ferrari,1:23.962,1:23.231,,11
12,17,Sergio Pérez,Sauber-Ferrari,1:24.209,1:23.367,,12
13,19,Jaime Alguersuari,Toro Rosso-Ferrari,1:24.049,1:23.694,,13
14,16,Kamui Kobayashi,Sauber-Ferrari,1:23.656,1:23.702,,14
15,20,Heikki Kovalainen,Lotus-Renault,1:25.874,1:25.403,,15
16,15,Paul di Resta,Force India-Mercedes,1:24.332,1:26.126,,16
17,14,Adrian Sutil,Force India-Mercedes,1:24.648,1:26.571,,17
18,21,Jarno Trulli,Lotus-Renault,1:26.521,,,18
19,11,Rubens Barrichello,Williams-Cosworth,1:26.910,,,19
20,24,Timo Glock,Virgin-Cosworth,1:27.315,,,20
21,23,Vitantonio Liuzzi,HRT-Cosworth,1:27.809,,,21
22,22,Narain Karthikeyan,HRT-Cosworth,1:27.908,,,22
23,25,Jérôme d'Ambrosio,Virgin-Cosworth,1:28.556,,,23
24,9,Nick Heidfeld,Renault,no time,,,24
