Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,3,Lewis Hamilton,McLaren-Mercedes,1:37.525,1:36.526,1:35.820,1
2,1,Sebastian Vettel,Red Bull Racing-Renault,1:39.093,1:37.285,1:36.042,2
3,4,Jenson Button,McLaren-Mercedes,1:37.929,1:37.302,1:36.126,3
4,2,Mark Webber,Red Bull Racing-Renault,1:39.071,1:37.292,1:36.468,4
5,6,Felipe Massa,Ferrari,1:38.670,1:37.313,1:36.831,5
6,5,Fernando Alonso,Ferrari,1:38.393,1:37.352,1:36.980,6
7,8,Nico Rosberg,Mercedes,1:38.426,1:37.892,1:37.754,7
8,10,Vitaly Petrov,Renault,1:38.378,1:38.186,1:38.124,8
9,15,Paul di Resta,Force India-Mercedes,1:38.549,1:38.254,no time,9
10,14,Adrian Sutil,Force India-Mercedes,1:38.789,1:38.219,no time,10
11,19,Jaime Alguersuari,Toro Rosso-Ferrari,1:39.392,1:38.315,,11
12,7,Michael Schumacher,Mercedes,1:38.502,1:38.354,,12
13,18,Sébastien Buemi,Toro Rosso-Ferrari,1:39.352,1:38.508,,13
14,16,Kamui Kobayashi,Sauber-Ferrari,1:39.464,1:38.775,,14
15,9,Bruno Senna,Renault,1:39.316,1:38.791,,15
16,12,Pastor Maldonado,Williams-Cosworth,1:39.436,1:39.189,,16
17,17,Sergio Pérez,Sauber-Ferrari,1:39.097,1:39.443,,17
18,11,Rubens Barrichello,Williams-Cosworth,1:39.538,,,18
19,20,Heikki Kovalainen,Lotus-Renault,1:40.522,,,19
20,21,Jarno Trulli,Lotus-Renault,1:41.101,,,20
21,24,Timo Glock,Virgin-Cosworth,1:42.091,,,21
22,25,Jérôme d'Ambrosio,Virgin-Cosworth,1:43.483,,,22
23,23,Vitantonio Liuzzi,HRT-Cosworth,1:43.758,,,23
24,22,Daniel Ricciardo,HRT-Cosworth,no time,,,24
