Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Sebastian Vettel,Red Bull Racing-Renault,1:25.296,1:24.090,1:23.529,1
2,3,Lewis Hamilton,McLaren-Mercedes,1:25.384,1:24.595,1:24.307,2
3,2,Mark Webber,Red Bull Racing-Renault,1:25.900,1:24.658,1:24.395,3
4,4,Jenson Button,McLaren-Mercedes,1:25.886,1:24.957,1:24.779,4
5,5,Fernando Alonso,Ferrari,1:25.707,1:25.242,1:24.974,5
6,10,Vitaly Petrov,Renault,1:25.543,1:25.582,1:25.247,6
7,8,Nico Rosberg,Mercedes,1:25.856,1:25.606,1:25.421,7
8,6,Felipe Massa,Ferrari,1:26.031,1:25.611,1:25.599,8
9,16,Kamui Kobayashi,Sauber-Ferrari,1:25.717,1:25.405,1:25.626,9
10,18,Sébastien Buemi,Toro Rosso-Ferrari,1:26.232,1:25.882,1:27.066,10
11,7,Michael Schumacher,Mercedes,1:25.962,1:25.971,,11
12,19,Jaime Alguersuari,Toro Rosso-Ferrari,1:26.620,1:26.103,,12
13,17,Sergio Pérez,Sauber-Ferrari,1:25.812,1:26.108,,13
14,15,Paul di Resta,Force India-Mercedes,1:27.222,1:26.739,,14
15,12,Pastor Maldonado,Williams-Cosworth,1:26.298,1:26.768,,15
16,14,Adrian Sutil,Force India-Mercedes,1:26.245,1:31.407,,16
17,11,Rubens Barrichello,Williams-Cosworth,1:26.270,no time,,17
18,9,Nick Heidfeld,Renault,1:27.239,,,18
19,20,Heikki Kovalainen,Lotus-Renault,1:29.254,,,19
20,21,Jarno Trulli,Lotus-Renault,1:29.342,,,20
21,24,Timo Glock,Virgin-Cosworth,1:29.858,,,21
22,25,Jérôme d'Ambrosio,Virgin-Cosworth,1:30.822,,,22
DNQ,23,Vitantonio Liuzzi,HRT-Cosworth,1:32.978,,,DNQ
DNQ,22,Narain Karthikeyan,HRT-Cosworth,1:34.293,,,DNQ
