Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Sebastian Vettel,Red Bull Racing-Renault,1:13.664,1:12.446,1:11.918,1
2,2,Mark Webber,Red Bull Racing-Renault,1:13.467,1:12.658,1:12.099,2
3,4,Jenson Button,McLaren-Mercedes,1:13.281,1:12.820,1:12.283,3
4,3,Lewis Hamilton,McLaren-Mercedes,1:13.361,1:12.811,1:12.480,4
5,5,Fernando Alonso,Ferrari,1:13.969,1:12.870,1:12.591,5
6,8,Nico Rosberg,Mercedes,1:14.083,1:12.569,1:13.050,6
7,6,Felipe Massa,Ferrari,1:14.269,1:13.291,1:13.068,7
8,14,Adrian Sutil,Force India-Mercedes,1:13.480,1:13.261,1:13.298,8
9,9,Bruno Senna,Renault,1:14.453,1:13.300,1:13.761,9
10,7,Michael Schumacher,Mercedes,1:13.694,1:13.571,no time,10
11,15,Paul di Resta,Force India-Mercedes,1:13.733,1:13.584,,11
12,11,Rubens Barrichello,Williams-Cosworth,1:14.117,1:13.801,,12
13,19,Jaime Alguersuari,Toro Rosso-Ferrari,1:14.225,1:13.804,,13
14,18,Sébastien Buemi,Toro Rosso-Ferrari,1:14.500,1:13.919,,14
15,10,Vitaly Petrov,Renault,1:13.859,1:14.053,,15
16,16,Kamui Kobayashi,Sauber-Ferrari,1:14.571,1:14.129,,16
17,17,Sergio Pérez,Sauber-Ferrari,1:14.430,1:14.182,,17
18,12,Pastor Maldonado,Williams-Cosworth,1:14.625,,,18
19,20,Heikki Kovalainen,Lotus-Renault,1:15.068,,,19
20,21,Jarno Trulli,Lotus-Renault,1:15.358,,,20
21,23,Vitantonio Liuzzi,HRT-Cosworth,1:16.631,,,21
22,22,Daniel Ricciardo,HRT-Cosworth,1:16.890,,,22
23,25,Jérôme d'Ambrosio,Virgin-Cosworth,1:17.019,,,23
24,24,Timo Glock,Virgin-Cosworth,1:17.060,,,24
