Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Sebastian Vettel,Red Bull Racing-Renault,1:37.468,1:35.934,1:34.870,1
2,3,Lewis Hamilton,McLaren-Mercedes,1:36.861,1:35.852,1:34.974,2
3,2,Mark Webber,Red Bull Racing-Renault,1:37.924,1:36.080,1:35.179,3
4,4,Jenson Button,McLaren-Mercedes,1:37.033,1:35.569,1:35.200,4
5,5,Fernando Alonso,Ferrari,1:36.897,1:36.320,1:35.802,5
6,9,Nick Heidfeld,Renault,1:37.224,1:36.811,1:36.124,6
7,6,Felipe Massa,Ferrari,1:36.744,1:36.557,1:36.251,7
8,10,Vitaly Petrov,Renault,1:37.210,1:36.642,1:36.324,8
9,8,Nico Rosberg,Mercedes,1:37.316,1:36.388,1:36.809,9
10,16,Kamui Kobayashi,Sauber-Ferrari,1:36.994,1:36.691,1:36.820,10
11,7,Michael Schumacher,Mercedes,1:36.904,1:37.035,,11
12,18,Sébastien Buemi,Toro Rosso-Ferrari,1:37.693,1:37.160,,12
13,19,Jaime Alguersuari,Toro Rosso-Ferrari,1:37.677,1:37.347,,13
14,15,Paul di Resta,Force India-Mercedes,1:38.045,1:37.370,,14
15,11,Rubens Barrichello,Williams-Cosworth,1:38.163,1:37.496,,15
16,17,Sergio Pérez,Sauber-Ferrari,1:37.759,1:37.528,,16
17,14,Adrian Sutil,Force India-Mercedes,1:37.693,1:37.593,,17
18,12,Pastor Maldonado,Williams-Cosworth,1:38.276,,,18
19,20,Heikki Kovalainen,Lotus-Renault,1:38.645,,,19
20,21,Jarno Trulli,Lotus-Renault,1:38.791,,,20
21,24,Timo Glock,Virgin-Cosworth,1:40.648,,,21
22,25,Jérôme d'Ambrosio,Virgin-Cosworth,1:41.001,,,22
23,23,Vitantonio Liuzzi,HRT-Cosworth,1:41.549,,,23
24,22,Narain Karthikeyan,HRT-Cosworth,1:42.574,,,24
