Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Sebastian Vettel,Red Bull Racing-Renault,1:40.478,1:38.516,1:38.481,1
2,3,Lewis Hamilton,McLaren-Mercedes,1:39.782,1:38.434,1:38.622,2
3,4,Jenson Button,McLaren-Mercedes,1:40.227,1:39.097,1:38.631,3
4,2,Mark Webber,Red Bull Racing-Renault,1:40.167,1:38.821,1:38.858,4
5,5,Fernando Alonso,Ferrari,1:41.380,1:39.058,1:39.058,5
6,6,Felipe Massa,Ferrari,1:41.592,1:39.623,1:39.695,6
7,8,Nico Rosberg,Mercedes,1:41.120,1:39.420,1:39.773,7
8,7,Michael Schumacher,Mercedes,1:42.605,1:40.554,1:40.662,8
9,14,Adrian Sutil,Force India-Mercedes,1:40.595,1:40.205,1:40.768,9
10,15,Paul di Resta,Force India-Mercedes,1:41.064,1:40.414,no time,10
11,17,Sergio Pérez,Sauber-Ferrari,1:41.311,1:40.874,,11
12,10,Vitaly Petrov,Renault,1:40.955,1:40.919,,12
13,18,Sébastien Buemi,Toro Rosso-Ferrari,1:41.737,1:41.009,,13
14,9,Bruno Senna,Renault,1:41.391,1:41.079,,14
15,19,Jaime Alguersuari,Toro Rosso-Ferrari,1:41.386,1:41.162,,15
16,16,Kamui Kobayashi,Sauber-Ferrari,1:41.613,1:41.240,,16
17,12,Pastor Maldonado,Williams-Cosworth,1:42.258,1:41.760,,23
18,20,Heikki Kovalainen,Lotus-Renault,1:42.979,,,17
19,21,Jarno Trulli,Lotus-Renault,1:43.884,,,18
20,24,Timo Glock,Virgin-Cosworth,1:44.515,,,19
21,22,Daniel Ricciardo,HRT-Cosworth,1:44.641,,,20
22,25,Jérôme d'Ambrosio,Virgin-Cosworth,1:44.699,,,21
23,23,Vitantonio Liuzzi,HRT-Cosworth,1:45.159,,,22
24,11,Rubens Barrichello,Williams-Cosworth,no time,,,24
