Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:17.633,1:17.166,1:16.173,1
2,77,Valtteri Bottas,Mercedes,1:17.674,1:17.111,1:16.213,2
3,5,Sebastian Vettel,Ferrari,1:17.031,1:16.802,1:16.305,3
4,7,Kimi Räikkönen,Ferrari,1:17.483,1:17.071,1:16.612,4
5,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:17.411,1:17.266,1:16.816,5
6,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:17.623,1:17.638,1:16.818,6
7,20,Kevin Magnussen,Haas-Ferrari,1:18.169,1:17.618,1:17.676,7
8,14,Fernando Alonso,McLaren-Renault,1:18.276,1:18.100,1:17.721,8
9,55,Carlos Sainz Jr.,Renault,1:18.480,1:17.803,1:17.790,9
10,8,Romain Grosjean,Haas-Ferrari,1:18.305,1:17.699,1:17.835,10
11,2,Stoffel Vandoorne,McLaren-Renault,1:18.885,1:18.323,,11
12,10,Pierre Gasly,Scuderia Toro Rosso-Honda,1:18.550,1:18.463,,12
13,31,Esteban Ocon,Force India-Mercedes,1:18.813,1:18.696,,13
14,16,Charles Leclerc,Sauber-Ferrari,1:18.661,1:18.910,,14
15,11,Sergio Pérez,Force India-Mercedes,1:18.740,1:19.098,,15
16,27,Nico Hülkenberg,Renault,1:18.923,,,16
17,9,Marcus Ericsson,Sauber-Ferrari,1:19.493,,,17
18,35,Sergey Sirotkin,Williams-Mercedes,1:19.695,,,19
19,18,Lance Stroll,Williams-Mercedes,1:20.225,,,18
—,28,Brendon Hartley,Scuderia Toro Rosso-Honda,No time,,,20
