Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:15.866,1:15.845,1:14.759,1
2,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:15.756,1:15.640,1:14.785,2
3,44,Lewis Hamilton,Mercedes,1:15.673,1:15.644,1:14.894,3
4,5,Sebastian Vettel,Ferrari,1:16.089,1:15.715,1:14.970,4
5,77,Valtteri Bottas,Mercedes,1:15.580,1:15.923,1:15.160,5
6,7,Kimi Räikkönen,Ferrari,1:16.446,1:15.996,1:15.330,6
7,27,Nico Hülkenberg,Renault,1:16.498,1:16.126,1:15.827,7
8,55,Carlos Sainz Jr.,Renault,1:16.813,1:16.188,1:16.084,8
9,16,Charles Leclerc,Sauber-Ferrari,1:16.862,1:16.320,1:16.189,9
10,9,Marcus Ericsson,Sauber-Ferrari,1:16.701,1:16.633,1:16.513,10
11,31,Esteban Ocon,Force India-Mercedes,1:16.252,1:16.844,N/A,11
12,14,Fernando Alonso,McLaren-Renault,1:16.857,1:16.871,N/A,12
13,11,Sergio Pérez,Force India-Mercedes,1:16.242,1:17.167,N/A,13
14,28,Brendon Hartley,Scuderia Toro Rosso-Honda,1:16.682,1:17.184,N/A,14
15,10,Pierre Gasly,Scuderia Toro Rosso-Honda,1:16.828,No time,N/A,20
16,8,Romain Grosjean,Haas-Ferrari,1:16.911,N/A,N/A,18
17,2,Stoffel Vandoorne,McLaren-Renault,1:16.966,N/A,N/A,15
18,20,Kevin Magnussen,Haas-Ferrari,1:17.599,N/A,N/A,16
19,18,Lance Stroll,Williams-Mercedes,1:17.689,N/A,N/A,17
20,35,Sergey Sirotkin,Williams-Mercedes,1:17.886,N/A,N/A,19
