Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,77,Valtteri Bottas,Mercedes,1:32.964,1:32.744,1:31.387,1
2,44,Lewis Hamilton,Mercedes,1:32.410,1:32.595,1:31.532,2
3,5,Sebastian Vettel,Ferrari,1:33.476,1:33.045,1:31.943,3
4,7,Kimi Räikkönen,Ferrari,1:33.341,1:33.065,1:32.237,4
5,20,Kevin Magnussen,Haas-Ferrari,1:34.078,1:33.747,1:33.181,5
6,31,Esteban Ocon,Force India-Mercedes,1:34.290,1:33.596,1:33.413,6
7,16,Charles Leclerc,Sauber-Ferrari,1:33.924,1:33.488,1:33.419,7
8,11,Sergio Pérez,Force India-Mercedes,1:34.084,1:33.923,1:33.563,8
9,8,Romain Grosjean,Haas-Ferrari,1:34.022,1:33.517,1:33.704,9
10,9,Marcus Ericsson,Sauber-Ferrari,1:34.170,1:33.995,1:35.196,10
11,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:33.048,No time,,19
12,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:33.247,No time,,18
13,10,Pierre Gasly,Scuderia Toro Rosso-Honda,1:34.383,No time,,17
14,55,Carlos Sainz Jr.,Renault,1:34.626,No time,,11
15,27,Nico Hülkenberg,Renault,1:34.655,No time,,12
16,28,Brendon Hartley,Scuderia Toro Rosso-Honda,1:35.037,,,20
17,14,Fernando Alonso,McLaren-Renault,1:35.504,,,16
18,35,Sergey Sirotkin,Williams-Mercedes,1:35.612,,,13
19,2,Stoffel Vandoorne,McLaren-Renault,1:35.977,,,15
20,18,Lance Stroll,Williams-Mercedes,1:36.437,,,14
