Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:31.271,1:30.645,1:30.029,1
2,77,Valtteri Bottas,Mercedes,1:31.776,1:31.227,1:30.147,2
3,5,Sebastian Vettel,Ferrari,1:31.820,1:30.751,1:30.400,3
4,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:31.531,1:30.818,1:30.705,4
5,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:31.910,1:31.538,1:30.895,5
6,7,Kimi Räikkönen,Ferrari,1:31.567,1:30.772,1:31.057,6
7,55,Carlos Sainz Jr.,Renault,1:32.394,1:32.016,1:32.126,7
8,16,Charles Leclerc,Sauber-Ferrari,1:32.538,1:32.055,1:32.635,8
9,20,Kevin Magnussen,Haas-Ferrari,1:32.169,1:31.510,1:32.930,9
10,8,Romain Grosjean,Haas-Ferrari,1:32.083,1:31.472,No time,10
11,31,Esteban Ocon,Force India-Mercedes,1:32.786,1:32.075,,11
12,27,Nico Hülkenberg,Renault,1:32.949,1:32.115,,12
13,11,Sergio Pérez,Force India-Mercedes,1:32.692,1:32.454,,13
14,10,Pierre Gasly,Scuderia Toro Rosso-Honda,1:32.447,1:32.460,,14
15,9,Marcus Ericsson,Sauber-Ferrari,1:32.804,1:32.820,,15
16,14,Fernando Alonso,McLaren-Renault,1:32.976,,,16
17,28,Brendon Hartley,Scuderia Toro Rosso-Honda,1:33.025,,,20
18,2,Stoffel Vandoorne,McLaren-Renault,1:33.162,,,17
19,35,Sergey Sirotkin,Williams-Mercedes,1:33.636,,,18
20,18,Lance Stroll,Williams-Mercedes,1:33.729,,,19
