Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:12.013,1:11.278,1:10.810,1
2,5,Sebastian Vettel,Ferrari,1:12.415,1:11.518,1:11.039,2
3,44,Lewis Hamilton,Mercedes,1:12.460,1:11.584,1:11.232,3
4,7,Kimi Räikkönen,Ferrari,1:12.639,1:11.391,1:11.266,4
5,77,Valtteri Bottas,Mercedes,1:12.434,1:12.002,1:11.441,5
6,31,Esteban Ocon,Force India-Mercedes,1:13.028,1:12.188,1:12.061,6
7,14,Fernando Alonso,McLaren-Renault,1:12.657,1:12.269,1:12.110,7
8,55,Carlos Sainz Jr.,Renault,1:12.950,1:12.286,1:12.130,8
9,11,Sergio Pérez,Force India-Mercedes,1:12.848,1:12.194,1:12.154,9
10,10,Pierre Gasly,Scuderia Toro Rosso-Honda,1:12.941,1:12.313,1:12.221,10
11,27,Nico Hülkenberg,Renault,1:13.065,1:12.411,,11
12,2,Stoffel Vandoorne,McLaren-Renault,1:12.463,1:12.440,,12
13,35,Sergey Sirotkin,Williams-Mercedes,1:12.706,1:12.521,,13
14,16,Charles Leclerc,Sauber-Ferrari,1:12.829,1:12.714,,14
15,8,Romain Grosjean,Haas-Ferrari,1:12.930,1:12.728,,18
16,28,Brendon Hartley,Scuderia Toro Rosso-Honda,1:13.179,,,15
17,9,Marcus Ericsson,Sauber-Ferrari,1:13.265,,,16
18,18,Lance Stroll,Williams-Mercedes,1:13.323,,,17
19,20,Kevin Magnussen,Haas-Ferrari,1:13.393,,,19
—,33,Max Verstappen,Red Bull Racing-TAG Heuer,No time,,,20
