Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:28.702,1:28.017,1:27.760,1
2,77,Valtteri Bottas,Mercedes,1:29.297,1:27.987,1:28.059,2
3,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:29.480,1:28.849,1:29.057,3
4,7,Kimi Räikkönen,Ferrari,1:29.631,1:28.595,1:29.521,4
5,8,Romain Grosjean,Haas-Ferrari,1:29.724,1:29.678,1:29.761,5
6,28,Brendon Hartley,Scuderia Toro Rosso-Honda,1:30.248,1:29.848,1:30.023,6
7,10,Pierre Gasly,Scuderia Toro Rosso-Honda,1:30.137,1:29.810,1:30.093,7
8,31,Esteban Ocon,Force India-Mercedes,1:29.899,1:29.538,1:30.126,11
9,5,Sebastian Vettel,Ferrari,1:29.049,1:28.279,1:32.192,8
10,11,Sergio Pérez,Force India-Mercedes,1:30.247,1:29.567,1:37.229,9
11,16,Charles Leclerc,Sauber-Ferrari,1:29.706,1:29.864,,10
12,20,Kevin Magnussen,Haas-Ferrari,1:30.219,1:30.226,,12
13,55,Carlos Sainz Jr.,Renault,1:30.236,1:30.490,,13
14,18,Lance Stroll,Williams-Mercedes,1:30.317,1:30.714,,14
15,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:29.806,No time,,15
16,27,Nico Hülkenberg,Renault,1:30.361,,,16
17,35,Sergey Sirotkin,Williams-Mercedes,1:30.372,,,17
18,14,Fernando Alonso,McLaren-Renault,1:30.573,,,18
19,2,Stoffel Vandoorne,McLaren-Renault,1:31.041,,,19
20,9,Marcus Ericsson,Sauber-Ferrari,1:31.213,,,20
