Team,No.,Driver,Rounds
Prema Theodore Racing,1,Guanyu Zhou,All
Prema Theodore Racing,4,Mick Schumacher,All
Prema Theodore Racing,7,Ralf Aron,All
Prema Theodore Racing,8,Marcus Armstrong,All
Prema Theodore Racing,10,Robert Shwartzman,All
Motopark,3,Sebastián Fernández,All
Motopark,13,Fabio Scherer,All
Motopark,23,Jonathan Aberdein,All
Motopark,27,Dan Ticktum,All
Motopark,33,Marino Sato,All
Motopark,44,Jüri Vips,All
Fortec Motorsports,5,Petru Florescu,2–7
Carlin,9,Jehan Daruvala,All
Carlin,11,Sacha Fenestraz,All
Carlin,16,Nikita Troitskiy,All
Carlin,17,Devlin DeFrancesco,1–4
Carlin,17,Julian Hanses,9–10
Carlin,24,Ameya Vaidyanathan,All
Carlin,62,Ferdinand Habsburg,All
Van Amersfoort Racing,12,Artem Petrov,All
Van Amersfoort Racing,15,Keyvan Andres,All
Van Amersfoort Racing,25,Sophia Flörsch,4–10
Van Amersfoort Racing,30,Frederik Vesti,10
ma-con,18,Julian Hanses,1–6
Hitech Bullfrog GP,39,Álex Palou,All
Hitech Bullfrog GP,65,Enaam Ahmed,All
Hitech Bullfrog GP,66,Charles Leong,6
Hitech Bullfrog GP,77,Ben Hingeley,All
