Pos.,No.,Driver,Team,Time,Gap,Grid
1,8,Fabio Leimer,Racing Engineering,1:39.427,—,1
2,1,Marcus Ericsson,DAMS,1:40.420,+0.993,2
3,9,Felipe Nasr,Carlin,1:40.520,+1.093,3
4,18,Stefano Coletti,Rapax,1:40.585,+1.158,4
5,12,Tom Dillmann,Russian Time,1:40.689,+1.262,5
6,2,Stéphane Richelmi,DAMS,1:40.704,+1.277,6
7,15,Alexander Rossi,Caterham Racing,1:40.756,+1.329,7
8,26,Adrian Quaife-Hobbs,MP Motorsport,1:40.769,+1.342,8
9,11,Sam Bird,Russian Time,1:40.842,+1.415,9
10,22,Robin Frijns,Hilmer Motorsport,1:40.865,+1.438,10
11,3,James Calado,ART Grand Prix,1:40.878,+1.451,21
12,19,Simon Trummer,Rapax,1:40.892,+1.465,11
13,10,Jolyon Palmer,Carlin,1:41.033,+1.606,12
14,5,Johnny Cecotto Jr.,Arden International,1:41.043,+1.616,13
15,4,Daniel Abt,ART Grand Prix,1:41.070,+1.646,14
16,14,Sergio Canamasas,Caterham Racing,1:41.229,+1.802,26
17,25,Kevin Giovesi,Venezuela GP Lazarus,1:41.236,+1.809,19
18,6,Mitch Evans,Arden International,1:41.237,+1.810,15
19,21,Kevin Ceccon,Trident Racing,1:41.243,+1.816,16
20,7,Julián Leal,Racing Engineering,1:41.504,+2.077,17
21,24,René Binder,Venezuela GP Lazarus,1:41.553,+2.126,18
22,16,Jake Rosenzweig,Barwa Addax Team,1:41.687,+2.260,20
23,20,Nathanaël Berthon,Trident Racing,1:41.730,+2.303,22
24,23,Pål Varhaug,Hilmer Motorsport,1:41.980,+2.553,23
25,17,Rio Haryanto,Barwa Addax Team,1:41.981,+2.554,24
26,27,Daniël de Jong,MP Motorsport,1:42.284,+2.857,25
