Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,2,Mark Webber,Red Bull-Renault,1:41.568,1:40.575,1:39.957,1
2,1,Sebastian Vettel,Red Bull-Renault,1:41.683,1:40.781,1:40.075,2
3,9,Nico Rosberg,Mercedes,1:41.420,1:40.473,1:40.419,3
4,10,Lewis Hamilton,Mercedes,1:40.693,1:40.477,1:40.501,4
5,11,Nico Hülkenberg,Sauber-Ferrari,1:41.631,1:40.931,1:40.576,5
6,8,Romain Grosjean,Lotus-Renault,1:41.447,1:40.948,1:40.997,6
7,4,Felipe Massa,Ferrari,1:41.254,1:40.989,1:41.015,7
8,6,Sergio Pérez,McLaren-Mercedes,1:41.687,1:40.812,1:41.068,8
9,19,Daniel Ricciardo,Toro Rosso-Ferrari,1:41.884,1:40.852,1:41.111,9
10,3,Fernando Alonso,Ferrari,1:41.397,1:41.093,,10
11,14,Paul di Resta,Force India-Mercedes,1:41.676,1:41.133,,11
12,5,Jenson Button,McLaren-Mercedes,1:41.817,1:41.200,,12
13,18,Jean-Éric Vergne,Toro Rosso-Ferrari,1:41.692,1:41.279,,13
14,16,Pastor Maldonado,Williams-Renault,1:41.365,1:41.395,,14
15,17,Valtteri Bottas,Williams-Renault,1:41.862,1:41.447,,15
16,12,Esteban Gutiérrez,Sauber-Ferrari,1:41.999,,,16
17,15,Adrian Sutil,Force India-Mercedes,1:42.051,,,17
18,21,Giedo van der Garde,Caterham-Renault,1:43.252,,,18
19,22,Jules Bianchi,Marussia-Cosworth,1:43.398,,,21
20,20,Charles Pic,Caterham-Renault,1:43.528,,,19
21,23,Max Chilton,Marussia-Cosworth,1:44.198,,,20
DSQ,7,Kimi Räikkönen,Lotus-Renault,1:41.276,1:40.971,1:40.542,22
