Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,9,Nico Rosberg,Mercedes,1:33.364,1:32.867,1:32.330,1
2,1,Sebastian Vettel,Red Bull-Renault,1:33.327,1:32.746,1:32.584,2
3,3,Fernando Alonso,Ferrari,1:32.878,1:33.316,1:32.667,3
4,10,Lewis Hamilton,Mercedes,1:33.498,1:33.346,1:32.762,9
5,2,Mark Webber,Red Bull-Renault,1:33.966,1:33.098,1:33.078,7
6,4,Felipe Massa,Ferrari,1:33.780,1:33.358,1:33.207,4
7,14,Paul di Resta,Force India-Mercedes,1:33.762,1:33.335,1:33.235,5
8,15,Adrian Sutil,Force India-Mercedes,1:34.048,1:33.378,1:33.246,6
9,7,Kimi Räikkönen,Lotus-Renault,1:33.827,1:33.146,1:33.327,8
10,5,Jenson Button,McLaren-Mercedes,1:34.071,1:33.702,no time,10
11,8,Romain Grosjean,Lotus-Renault,1:33.498,1:33.762,,11
12,6,Sergio Pérez,McLaren-Mercedes,1:34.310,1:33.914,,12
13,19,Daniel Ricciardo,Toro Rosso-Ferrari,1:34.120,1:33.974,,13
14,11,Nico Hülkenberg,Sauber-Ferrari,1:34.409,1:33.976,,14
15,17,Valtteri Bottas,Williams-Renault,1:34.425,1:34.105,,15
16,18,Jean-Éric Vergne,Toro Rosso-Ferrari,1:34.314,1:34.284,,16
17,16,Pastor Maldonado,Williams-Renault,1:34.425,,,17
18,12,Esteban Gutiérrez,Sauber-Ferrari,1:34.730,,,22
19,20,Charles Pic,Caterham-Renault,1:35.283,,,18
20,22,Jules Bianchi,Marussia-Cosworth,1:36.178,,,19
21,21,Giedo van der Garde,Caterham-Renault,1:36.304,,,20
22,23,Max Chilton,Marussia-Cosworth,1:36.476,,,21
