Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,10,Lewis Hamilton,Mercedes,1:31.131,1:30.152,1:29.398,1
2,1,Sebastian Vettel,Red Bull-Renault,1:31.269,1:29.992,1:29.501,2
3,2,Mark Webber,Red Bull-Renault,1:31.428,1:30.217,1:29.608,3
4,7,Kimi Räikkönen,Lotus-Renault,1:30.676,1:29.852,1:29.892,4
5,8,Romain Grosjean,Lotus-Renault,1:31.242,1:30.005,1:29.959,5
6,19,Daniel Ricciardo,Toro Rosso-Ferrari,1:31.081,1:30.223,1:30.528,6
7,4,Felipe Massa,Ferrari,1:30.547,1:29.825,1:31.126,7
8,3,Fernando Alonso,Ferrari,1:30.709,1:29.962,1:31.209,8
9,5,Jenson Button,McLaren-Mercedes,1:31.181,1:30.269,no time,9
10,11,Nico Hülkenberg,Sauber-Ferrari,1:31.132,1:30.231,no time,10
11,9,Nico Rosberg,Mercedes,1:31.322,1:30.326,,11
12,14,Paul di Resta,Force India-Mercedes,1:31.322,1:30.697,,12
13,6,Sergio Pérez,McLaren-Mercedes,1:31.498,1:30.933,,13
14,12,Esteban Gutiérrez,Sauber-Ferrari,1:31.681,1:31.010,,14
15,15,Adrian Sutil,Force India-Mercedes,1:31.320,1:31.010,,15
16,18,Jean-Éric Vergne,Toro Rosso-Ferrari,1:31.629,1:31.104,,16
17,17,Valtteri Bottas,Williams-Renault,1:31.693,,,17
18,16,Pastor Maldonado,Williams-Renault,1:31.707,,,18
19,20,Charles Pic,Caterham-Renault,1:32.937,,,22
20,22,Jules Bianchi,Marussia-Cosworth,1:33.063,,,19
21,21,Giedo van der Garde,Caterham-Renault,1:33.734,,,20
22,23,Max Chilton,Marussia-Cosworth,1:34.098,,,21
