Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,2,Mark Webber,Red Bull-Renault,1:32.271,1:31.513,1:30.915,1
2,1,Sebastian Vettel,Red Bull-Renault,1:32.397,1:31.290,1:31.089,2
3,10,Lewis Hamilton,Mercedes,1:32.340,1:31.636,1:31.253,3
4,8,Romain Grosjean,Lotus-Renault,1:31.824,1:31.565,1:31.365,4
5,4,Felipe Massa,Ferrari,1:31.994,1:31.668,1:31.378,5
6,9,Nico Rosberg,Mercedes,1:32.244,1:31.764,1:31.397,6
7,11,Nico Hülkenberg,Sauber-Ferrari,1:32.465,1:31.848,1:31.664,7
8,3,Fernando Alonso,Ferrari,1:32.371,1:31.828,1:31.665,8
9,7,Kimi Räikkönen,Lotus-Renault,1:32.377,1:31.662,1:31.684,9
10,5,Jenson Button,McLaren-Mercedes,1:32.606,1:31.838,1:31.827,10
11,6,Sergio Pérez,McLaren-Mercedes,1:32.718,1:31.989,,11
12,14,Paul di Resta,Force India-Mercedes,1:32.286,1:31.992,,12
13,17,Valtteri Bottas,Williams-Renault,1:32.613,1:32.013,,13
14,12,Esteban Gutiérrez,Sauber-Ferrari,1:32.673,1:32.063,,14
15,16,Pastor Maldonado,Williams-Renault,1:32.875,1:32.093,,15
16,19,Daniel Ricciardo,Toro Rosso-Ferrari,1:32.804,1:32.485,,16
17,15,Adrian Sutil,Force India-Mercedes,1:32.890,,,22
18,18,Jean-Éric Vergne,Toro Rosso-Ferrari,1:33.357,,,17
19,23,Max Chilton,Marussia-Cosworth,1:34.320,,,18
20,20,Charles Pic,Caterham-Renault,1:34.556,,,20
21,21,Giedo van der Garde,Caterham-Renault,1:34.879,,,19
22,22,Jules Bianchi,Marussia-Cosworth,1:34.958,,,21
