Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Sebastian Vettel,Red Bull-Renault,1:45.376,1:42.905,1:42.841,1
2,9,Nico Rosberg,Mercedes,1:45.208,1:43.892,1:42.932,2
3,8,Romain Grosjean,Lotus-Renault,1:45.851,1:43.957,1:43.058,3
4,2,Mark Webber,Red Bull-Renault,1:45.271,1:43.272,1:43.152,4
5,10,Lewis Hamilton,Mercedes,1:44.196,1:43.920,1:43.254,5
6,4,Felipe Massa,Ferrari,1:45.658,1:44.376,1:43.890,6
7,3,Fernando Alonso,Ferrari,1:45.115,1:44.153,1:43.938,7
8,5,Jenson Button,McLaren-Mercedes,1:45.009,1:44.497,1:44.282,8
9,19,Daniel Ricciardo,Toro Rosso-Ferrari,1:45.379,1:44.407,1:44.439,9
10,12,Esteban Gutiérrez,Sauber-Ferrari,1:45.483,1:44.245,no time,10
11,11,Nico Hülkenberg,Sauber-Ferrari,1:45.381,1:44.555,,11
12,18,Jean-Éric Vergne,Toro Rosso-Ferrari,1:45.657,1:44.588,,12
13,7,Kimi Räikkönen,Lotus-Renault,1:45.522,1:44.658,,13
14,6,Sergio Pérez,McLaren-Mercedes,1:45.164,1:44.752,,14
15,15,Adrian Sutil,Force India-Mercedes,1:45.960,1:45.185,,15
16,17,Valtteri Bottas,Williams-Renault,1:45.982,1:45.388,,16
17,14,Paul di Resta,Force India-Mercedes,1:46.121,,,17
18,16,Pastor Maldonado,Williams-Renault,1:46.619,,,18
19,20,Charles Pic,Caterham-Renault,1:48.111,,,19
20,21,Giedo van der Garde,Caterham-Renault,1:48.320,,,20
21,22,Jules Bianchi,Marussia-Cosworth,1:48.830,,,21
22,23,Max Chilton,Marussia-Cosworth,1:48.930,,,22
