Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,10,Lewis Hamilton,Mercedes,2:00.368,1:49.067,2:01.012,1
2,1,Sebastian Vettel,Red Bull-Renault,2:01.863,1:48.646,2:01.200,2
3,2,Mark Webber,Red Bull-Renault,2:01.597,1:48.641,2:01.325,3
4,9,Nico Rosberg,Mercedes,2:01.099,1:48.552,2:02.251,4
5,14,Paul di Resta,Force India-Mercedes,2:02.338,1:48.925,2:02.332,5
6,5,Jenson Button,McLaren-Mercedes,2:01.301,1:48.641,2:03.075,6
7,8,Romain Grosjean,Lotus-Renault,2:02.476,1:48.649,2:03.081,7
8,7,Kimi Räikkönen,Lotus-Renault,2:01.151,1:48.296,2:03.390,8
9,3,Fernando Alonso,Ferrari,2:00.190,1:48.309,2:03.482,9
10,4,Felipe Massa,Ferrari,2:01.462,1:49.020,2:04.059,10
11,11,Nico Hülkenberg,Sauber-Ferrari,2:01.712,1:49.088,,11
12,15,Adrian Sutil,Force India-Mercedes,2:02.749,1:49.103,,12
13,6,Sergio Pérez,McLaren-Mercedes,2:02.425,1:49.304,,13
14,21,Giedo van der Garde,Caterham-Renault,2:00.564,1:52.036,,14
15,22,Jules Bianchi,Marussia-Cosworth,2:02.110,1:52.563,,15
16,23,Max Chilton,Marussia-Cosworth,2:02.948,1:52.762,,16
17,16,Pastor Maldonado,Williams-Renault,2:03.072,,,17
18,18,Jean-Éric Vergne,Toro Rosso-Ferrari,2:03.300,,,18
19,19,Daniel Ricciardo,Toro Rosso-Ferrari,2:03.317,,,19
20,17,Valtteri Bottas,Williams-Renault,2:03.432,,,20
21,12,Esteban Gutiérrez,Sauber-Ferrari,2:04.324,,,21
22,20,Charles Pic,Caterham-Renault,2:07.384,,,22
