Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Sebastian Vettel,Red Bull-Renault,1:25.943,1:24.568,1:24.119,1
2,9,Nico Rosberg,Mercedes,1:25.833,1:25.304,1:24.871,2
3,10,Lewis Hamilton,Mercedes,1:25.802,1:25.259,1:24.941,3
4,2,Mark Webber,Red Bull-Renault,1:25.665,1:25.097,1:25.047,4
5,4,Felipe Massa,Ferrari,1:25.793,1:25.389,1:25.201,5
6,7,Kimi Räikkönen,Lotus-Renault,1:25.819,1:25.191,1:25.248,6
7,11,Nico Hülkenberg,Sauber-Ferrari,1:25.883,1:25.339,1:25.334,7
8,3,Fernando Alonso,Ferrari,1:25.934,1:24.885,1:25.826,8
9,6,Sergio Pérez,McLaren-Mercedes,1:26.107,1:25.365,1:26.153,9
10,5,Jenson Button,McLaren-Mercedes,1:25.574,1:25.458,1:26.487,10
11,19,Daniel Ricciardo,Toro Rosso-Ferrari,1:25.673,1:25.519,,11
12,14,Paul di Resta,Force India-Mercedes,1:25.908,1:25.711,,12
13,15,Adrian Sutil,Force India-Mercedes,1:26.164,1:25.740,,13
14,18,Jean-Éric Vergne,Toro Rosso-Ferrari,1:26.155,1:25.798,,14
15,17,Valtteri Bottas,Williams-Renault,1:26.178,1:26.134,,15
16,12,Esteban Gutiérrez,Sauber-Ferrari,1:26.057,1:26.336,,16
17,8,Romain Grosjean,Lotus-Renault,1:26.577,,,17
18,16,Pastor Maldonado,Williams-Renault,1:26.842,,,18
19,22,Jules Bianchi,Marussia-Cosworth,1:26.970,,,19
20,21,Giedo van der Garde,Caterham-Renault,1:27.105,,,20
21,20,Charles Pic,Caterham-Renault,1:27.487,,,21
22,23,Max Chilton,Marussia-Cosworth,1:28.138,,,22
