Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Sebastian Vettel,Red Bull-Renault,1:38.683,1:37.569,1:37.202,1
2,10,Lewis Hamilton,Mercedes,1:38.574,1:37.824,1:37.420,2
3,2,Mark Webber,Red Bull-Renault,1:39.138,1:37.840,1:37.464,13
4,8,Romain Grosjean,Lotus-Renault,1:39.065,1:38.076,1:37.531,3
5,9,Nico Rosberg,Mercedes,1:38.418,1:38.031,1:37.679,4
6,3,Fernando Alonso,Ferrari,1:38.520,1:37.978,1:38.038,5
7,4,Felipe Massa,Ferrari,1:38.884,1:38.295,1:38.223,6
8,11,Nico Hülkenberg,Sauber-Ferrari,1:38.427,1:37.913,1:38.237,7
9,12,Esteban Gutiérrez,Sauber-Ferrari,1:38.725,1:38.327,1:38.405,8
10,7,Kimi Räikkönen,Lotus-Renault,1:38.341,1:38.181,1:38.822,9
11,6,Sergio Pérez,McLaren-Mercedes,1:39.049,1:38.362,,10
12,5,Jenson Button,McLaren-Mercedes,1:38.882,1:38.365,,11
13,19,Daniel Ricciardo,Toro Rosso-Ferrari,1:38.525,1:38.417,,12
14,15,Adrian Sutil,Force India-Mercedes,1:38.988,1:38.431,,14
15,14,Paul di Resta,Force India-Mercedes,1:39.185,1:38.718,,15
16,18,Jean-Éric Vergne,Toro Rosso-Ferrari,1:39.075,1:38.781,,16
17,17,Valtteri Bottas,Williams-Renault,1:39.470,,,17
18,16,Pastor Maldonado,Williams-Renault,1:39.987,,,18
19,20,Charles Pic,Caterham-Renault,1:40.864,,,19
20,21,Giedo van der Garde,Caterham-Renault,1:40.871,,,20
21,22,Jules Bianchi,Marussia-Cosworth,1:41.169,,,22
22,23,Max Chilton,Marussia-Cosworth,1:41.322,,,21
