Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Sebastian Vettel,Red Bull-Renault,1:22.318,1:28.166,1:25.425,1
2,10,Lewis Hamilton,Mercedes,1:23.801,1:27.649,1:25.512,2
3,17,Valtteri Bottas,Williams-Renault,1:23.446,1:28.419,1:25.897,3
4,9,Nico Rosberg,Mercedes,1:23.840,1:28.420,1:26.008,4
5,2,Mark Webber,Red Bull-Renault,1:23.247,1:28.145,1:26.208,5
6,3,Fernando Alonso,Ferrari,1:23.224,1:28.788,1:26.504,6
7,18,Jean-Éric Vergne,Toro Rosso-Ferrari,1:24.159,1:28.527,1:26.543,7
8,15,Adrian Sutil,Force India-Mercedes,1:24.551,1:28.799,1:27.348,8
9,7,Kimi Räikkönen,Lotus-Renault,1:24.451,1:28.667,1:27.432,10
10,19,Daniel Ricciardo,Toro Rosso-Ferrari,1:24.770,1:29.359,1:27.946,11
11,11,Nico Hülkenberg,Sauber-Ferrari,1:23.899,1:29.435,,9
12,6,Sergio Pérez,McLaren-Mercedes,1:24.176,1:29.761,,12
13,16,Pastor Maldonado,Williams-Renault,1:24.776,1:29.917,,13
14,5,Jenson Button,McLaren-Mercedes,1:24.021,1:30.068,,14
15,12,Esteban Gutiérrez,Sauber-Ferrari,1:24.408,1:30.315,,15
16,4,Felipe Massa,Ferrari,1:23.735,1:30.354,,16
17,14,Paul di Resta,Force India-Mercedes,1:24.908,,,17
18,20,Charles Pic,Caterham-Renault,1:25.626,,,18
19,8,Romain Grosjean,Lotus-Renault,1:25.716,,,22
20,22,Jules Bianchi,Marussia-Cosworth,1:26.508,,,19
21,23,Max Chilton,Marussia-Cosworth,1:27.062,,,20
22,21,Giedo van der Garde,Caterham-Renault,1:27.110,,,21
