Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Sebastian Vettel,Red Bull-Renault,1:24.319,1:23.977,1:23.755,1
2,2,Mark Webber,Red Bull-Renault,1:24.923,1:24.263,1:23.968,2
3,11,Nico Hülkenberg,Sauber-Ferrari,1:24.776,1:24.305,1:24.065,3
4,4,Felipe Massa,Ferrari,1:24.950,1:24.479,1:24.132,4
5,3,Fernando Alonso,Ferrari,1:24.661,1:24.227,1:24.142,5
6,9,Nico Rosberg,Mercedes,1:24.527,1:24.393,1:24.192,6
7,19,Daniel Ricciardo,Toro Rosso-Ferrari,1:24.655,1:24.290,1:24.209,7
8,6,Sergio Pérez,McLaren-Mercedes,1:24.635,1:24.592,1:24.502,8
9,5,Jenson Button,McLaren-Mercedes,1:24.739,1:24.563,1:24.515,9
10,18,Jean-Éric Vergne,Toro Rosso-Ferrari,1:24.630,1:24.575,1:28.050,10
11,7,Kimi Räikkönen,Lotus-Renault,1:24.819,1:24.610,,11
12,10,Lewis Hamilton,Mercedes,1:24.589,1:24.803,,12
13,8,Romain Grosjean,Lotus-Renault,1:24.737,1:24.848,,13
14,15,Adrian Sutil,Force India-Mercedes,1:25.030,1:24.932,,17
15,16,Pastor Maldonado,Williams-Renault,1:24.905,1:25.011,,14
16,14,Paul di Resta,Force India-Mercedes,1:25.009,1:25.077,,15
17,12,Esteban Gutiérrez,Sauber-Ferrari,1:25.226,,,16
18,17,Valtteri Bottas,Williams-Renault,1:25.291,,,18
19,21,Giedo van der Garde,Caterham-Renault,1:26.406,,,19
20,20,Charles Pic,Caterham-Renault,1:26.563,,,20
21,22,Jules Bianchi,Marussia-Cosworth,1:27.085,,,21
22,23,Max Chilton,Marussia-Cosworth,1:27.480,,,22
