Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,9,Nico Rosberg,Mercedes,1:21.913,1:21.776,1:20.718,1
2,10,Lewis Hamilton,Mercedes,1:21.728,1:21.001,1:20.972,2
3,1,Sebastian Vettel,Red Bull-Renault,1:22.158,1:21.602,1:21.054,3
4,7,Kimi Räikkönen,Lotus-Renault,1:22.210,1:21.676,1:21.177,4
5,3,Fernando Alonso,Ferrari,1:22.264,1:21.646,1:21.218,5
6,4,Felipe Massa,Ferrari,1:22.492,1:21.978,1:21.219,9
7,8,Romain Grosjean,Lotus-Renault,1:22.613,1:21.998,1:21.308,6
8,2,Mark Webber,Red Bull-Renault,1:22.342,1:21.718,1:21.570,7
9,6,Sergio Pérez,McLaren-Mercedes,1:23.116,1:21.790,1:22.069,8
10,14,Paul di Resta,Force India-Mercedes,1:22.663,1:22.019,1:22.233,10
11,19,Daniel Ricciardo,Toro Rosso-Ferrari,1:22.905,1:22.127,,11
12,18,Jean-Éric Vergne,Toro Rosso-Ferrari,1:22.775,1:22.166,,12
13,15,Adrian Sutil,Force India-Mercedes,1:22.952,1:22.346,,13
14,5,Jenson Button,McLaren-Mercedes,1:23.166,1:22.355,,14
15,11,Nico Hülkenberg,Sauber-Ferrari,1:23.058,1:22.389,,15
16,12,Esteban Gutiérrez,Sauber-Ferrari,1:23.218,1:22.793,,19
17,17,Valtteri Bottas,Williams-Renault,1:23.260,,,16
18,16,Pastor Maldonado,Williams-Renault,1:23.318,,,17
19,21,Giedo van der Garde,Caterham-Renault,1:24.661,,,18
20,22,Jules Bianchi,Marussia-Cosworth,1:24.713,,,20
21,23,Max Chilton,Marussia-Cosworth,1:24.996,,,21
22,20,Charles Pic,Caterham-Renault,1:25.070,,,22
