Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Sebastian Vettel,Red Bull-Renault,1:38.516,1:37.065,1:36.338,1
2,2,Mark Webber,Red Bull-Renault,1:38.161,1:37.312,1:36.441,2
3,8,Romain Grosjean,Lotus-Renault,1:38.676,1:37.523,1:37.155,3
4,11,Nico Hülkenberg,Sauber-Ferrari,1:38.339,1:37.828,1:37.296,4
5,10,Lewis Hamilton,Mercedes,1:37.959,1:37.854,1:37.345,5
6,3,Fernando Alonso,Ferrari,1:38.929,1:37.368,1:37.376,6
7,6,Sergio Pérez,McLaren-Mercedes,1:38.367,1:38.040,1:37.452,7
8,7,Heikki Kovalainen,Lotus-Renault,1:38.375,1:38.078,1:37.715,8
9,17,Valtteri Bottas,Williams-Renault,1:37.821,1:37.439,1:37.836,9
10,12,Esteban Gutiérrez,Sauber-Ferrari,1:38.082,1:38.031,1:38.034,20
11,19,Daniel Ricciardo,Toro Rosso-Ferrari,1:38.882,1:38.131,,10
12,14,Paul di Resta,Force India-Mercedes,1:38.894,1:38.139,,11
13,5,Jenson Button,McLaren-Mercedes,1:38.588,1:38.217,,15
14,9,Nico Rosberg,Mercedes,1:38.743,1:38.364,,12
15,4,Felipe Massa,Ferrari,1:39.094,1:38.592,,13
16,18,Jean-Éric Vergne,Toro Rosso-Ferrari,1:38.880,1:38.696,,14
17,15,Adrian Sutil,Force India-Mercedes,1:39.250,,,16
18,16,Pastor Maldonado,Williams-Renault,1:39.351,,,17
19,21,Giedo van der Garde,Caterham-Renault,1:40.491,,,18
20,22,Jules Bianchi,Marussia-Cosworth,1:40.528,,,19
21,20,Charles Pic,Caterham-Renault,1:40.596,,,22
22,23,Max Chilton,Marussia-Cosworth,1:41.401,,,21
