Pos.,No.,Driver,Team,Time,Gap,Grid
1,18,Leonardo Pulcini,Campos Racing,1:52.586,,1
2,1,Callum Ilott,ART Grand Prix,1:52.655,+0.069,2
3,6,Giuliano Alesi,Trident,1:52.664,+0.078,3
4,2,Anthoine Hubert,ART Grand Prix,1:52.798,+0.212,4
5,7,Ryan Tveter,Trident,1:52.826,+0.240,5
6,19,Simo Laaksonen,Campos Racing,1:52.844,+0.258,6
7,22,Richard Verschoor,MP Motorsport,1:52.865,+0.279,7
8,3,Nikita Mazepin,ART Grand Prix,1:52.951,+0.365,8
9,16,Joey Mawson,Arden International,1:53.178,+0.592,9
10,4,Jake Hughes,ART Grand Prix,1:53.218,+0.632,10
11,5,Pedro Piquet,Trident,1:53.262,+0.676,11
12,10,Juan Manuel Correa,Jenzer Motorsport,1:53.362,+0.776,12
13,15,Sacha Fenestraz,Arden International,1:53.435,+0.849,13
14,9,Tatiana Calderón,Jenzer Motorsport,1:53.661,+1.075,14
15,8,David Beckmann,Trident,1:53.765,+1.179,15
16,23,Devlin DeFrancesco,MP Motorsport,1:53.992,+1.406,16
17,14,Gabriel Aubry,Arden International,1:54.007,+1.421,17
18,20,Diego Menchaca,Campos Racing,1:54.614,+2.028,18
19,11,Jannes Fittje,Jenzer Motorsport,1:54.846,+2.260,19
