Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Max Verstappen,Red Bull Racing-Honda RBPT,1:31.295,1:30.503,1:29.708,1
2,11,Sergio Pérez,Red Bull Racing-Honda RBPT,1:31.479,1:30.746,1:29.846,2
3,16,Charles Leclerc,Ferrari,1:31.094,1:30.282,1:30.000,3
4,55,Carlos Sainz Jr.,Ferrari,1:30.993,1:30.515,1:30.154,4
5,14,Fernando Alonso,Aston MartinAramco-Mercedes,1:31.158,1:30.645,1:30.336,5
6,63,George Russell,Mercedes,1:31.057,1:30.507,1:30.340,6
7,44,Lewis Hamilton,Mercedes,1:31.543,1:30.513,1:30.384,7
8,18,Lance Stroll,Aston MartinAramco-Mercedes,1:31.184,1:31.127,1:30.836,8
9,31,Esteban Ocon,Alpine-Renault,1:31.508,1:30.914,1:30.984,9
10,27,Nico Hülkenberg,Haas-Ferrari,1:31.204,1:30.809,No time,10
11,4,Lando Norris,McLaren-Mercedes,1:31.652,1:31.381,N/A,11
12,77,Valtteri Bottas,Alfa Romeo-Ferrari,1:31.504,1:31.443,N/A,12
13,24,Zhou Guanyu,Alfa Romeo-Ferrari,1:31.615,1:31.473,N/A,13
14,22,Yuki Tsunoda,AlphaTauri-Honda RBPT,1:31.400,1:32.510,N/A,14
15,23,Alexander Albon,Williams-Mercedes,1:31.461,No time,N/A,15
16,2,Logan Sargeant,Williams-Mercedes,1:31.652,N/A,N/A,16
17,20,Kevin Magnussen,Haas-Ferrari,1:31.892,N/A,N/A,17
18,81,Oscar Piastri,McLaren-Mercedes,1:32.101,N/A,N/A,18
19,21,Nyck de Vries,AlphaTauri-Honda RBPT,1:32.121,N/A,N/A,19
20,10,Pierre Gasly,Alpine-Renault,1:32.181,N/A,N/A,20
