Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Max Verstappen,Red Bull Racing-Honda RBPT,1:58.515,1:52.784,1:46.168,6
2,16,Charles Leclerc,Ferrari,1:58.300,1:52.017,1:46.988,1
3,11,Sergio Pérez,Red Bull Racing-Honda RBPT,1:58.899,1:52.353,1:47.045,2
4,44,Lewis Hamilton,Mercedes,1:58.563,1:52.345,1:47.087,3
5,55,Carlos Sainz Jr.,Ferrari,1:58.688,1:51.711,1:47.152,4
6,81,Oscar Piastri,McLaren-Mercedes,1:58.872,1:51.534,1:47.365,5
7,4,Lando Norris,McLaren-Mercedes,1:59.981,1:52.252,1:47.669,7
8,63,George Russell,Mercedes,1:59.035,1:52.605,1:47.805,8
9,14,Fernando Alonso,Aston MartinAramco-Mercedes,1:58.834,1:52.751,1:47.843,9
10,18,Lance Stroll,Aston MartinAramco-Mercedes,1:59.663,1:52.193,1:48.841,10
11,22,Yuki Tsunoda,AlphaTauri-Honda RBPT,1:59.044,1:53.148,N/A,11
12,10,Pierre Gasly,Alpine-Renault,1:59.511,1:53.671,N/A,12
13,20,Kevin Magnussen,Haas-Ferrari,2:00.020,1:54.160,N/A,16
14,77,Valtteri Bottas,Alfa Romeo-Ferrari,1:59.484,1:54.694,N/A,13
15,31,Esteban Ocon,Alpine-Renault,1:59.634,1:56.372,N/A,14
16,23,Alexander Albon,Williams-Mercedes,2:00.314,N/A,N/A,15
17,24,Zhou Guanyu,Alfa Romeo-Ferrari,2:00.832,N/A,N/A,17
18,2,Logan Sargeant,Williams-Mercedes,2:01.535,N/A,N/A,18
19,3,Daniel Ricciardo,AlphaTauri-Honda RBPT,2:02.159,N/A,N/A,19
20,27,Nico Hülkenberg,Haas-Ferrari,2:03.166,N/A,N/A,PL
