Pos.,No.,Driver,Team,Grid,Q1,Q2,Q3,Grid
1,16,Charles Leclerc,Ferrari,1:36.061,1:35.004,1:34.723,1
2,4,Lando Norris,McLaren-Mercedes,1:35.110,1:35.441,1:34.853,2
3,44,Lewis Hamilton,Mercedes,1:35.091,1:35.240,1:34.862,3
4,55,Carlos Sainz Jr.,Ferrari,1:35.824,1:35.302,1:34.945,4
5,63,George Russell,Mercedes,1:36.165,1:35.606,1:35.079,5
6,1,Max Verstappen,Red Bull Racing-Honda RBPT,1:35.346,1:35.008,1:35.081,6
7,10,Pierre Gasly,Alpine-Renault,1:36.158,1:35.496,1:35.089,7
8,31,Esteban Ocon,Alpine-Renault,1:36.131,1:35.413,1:35.154,8
9,11,Sergio Pérez,Red Bull Racing-Honda RBPT,1:35.989,1:35.679,1:35.173,9
10,81,Oscar Piastri,McLaren-Mercedes,1:36.064,1:35.576,1:35.467,10
11,22,Yuki Tsunoda,AlphaTauri-Honda RBPT,1:35.913,1:35.697,N/A,11
12,24,Zhou Guanyu,Alfa Romeo-Ferrari,1:36.052,1:35.698,N/A,12
13,77,Valtteri Bottas,Alfa Romeo-Ferrari,1:36.082,1:35.858,N/A,13
14,20,Kevin Magnussen,Haas-Ferrari,1:36.009,1:35.880,N/A,PL
15,3,Daniel Ricciardo,AlphaTauri-Honda RBPT,1:36.213,1:35.974,N/A,14
16,27,Nico Hülkenberg,Haas-Ferrari,1:36.235,N/A,N/A,PL
17,14,Fernando Alonso,Aston MartinAramco-Mercedes,1:36.268,N/A,N/A,PL
18,23,Alexander Albon,Williams-Mercedes,1:36.315,N/A,N/A,15
19,18,Lance Stroll,Aston MartinAramco-Mercedes,1:36.589,N/A,N/A,PL
20,2,Logan Sargeant,Williams-Mercedes,1:36.827,N/A,N/A,16
