Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Max Verstappen,Red Bull Racing-Honda RBPT,1:17.384,1:17.056,1:16.732,1
2,63,George Russell,Mercedes,1:17.654,1:17.513,1:16.968,2
3,44,Lewis Hamilton,Mercedes,1:17.689,1:17.551,1:17.104,3
4,14,Fernando Alonso,Aston MartinAramco-Mercedes,1:17.832,1:17.283,1:17.139,4
5,55,Carlos Sainz Jr.,Ferrari,1:17.928,1:17.349,1:17.270,5
6,18,Lance Stroll,Aston MartinAramco-Mercedes,1:17.873,1:17.616,1:17.308,6
7,16,Charles Leclerc,Ferrari,1:18.218,1:17.390,1:17.369,7
8,23,Alexander Albon,Williams-Mercedes,1:17.962,1:17.761,1:17.609,8
9,10,Pierre Gasly,Alpine-Renault,1:18.312,1:17.574,1:17.675,9
10,27,Nico Hülkenberg,Haas-Ferrari,1:18.029,1:17.412,1:17.735,10
11,31,Esteban Ocon,Alpine-Renault,1:17.770,1:17.768,N/A,11
12,22,Yuki Tsunoda,AlphaTauri-Honda RBPT,1:18.471,1:18.099,N/A,12
13,4,Lando Norris,McLaren-Mercedes,1:18.243,1:18.119,N/A,13
14,20,Kevin Magnussen,Haas-Ferrari,1:18.159,1:18.129,N/A,14
15,21,Nyck de Vries,AlphaTauri-Honda RBPT,1:18.450,1:18.335,N/A,15
16,81,Oscar Piastri,McLaren-Mercedes,1:18.517,N/A,N/A,16
17,24,Zhou Guanyu,Alfa Romeo-Ferrari,1:18.540,N/A,N/A,17
18,2,Logan Sargeant,Williams-Mercedes,1:18.557,N/A,N/A,18
19,77,Valtteri Bottas,Alfa Romeo-Ferrari,1:18.714,N/A,N/A,PL
—,11,Sergio Pérez,Red Bull Racing-Honda RBPT,No time,N/A,N/A,PL
