Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Max Verstappen,Red Bull Racing-Honda RBPT,1:13.615,1:12.760,1:12.272,1
2,55,Carlos Sainz Jr.,Ferrari,1:13.411,1:12.790,1:12.734,2
3,4,Lando Norris,McLaren-Mercedes,1:13.295,1:12.776,1:12.792,3
4,10,Pierre Gasly,Alpine-Renault,1:13.471,1:13.186,1:12.816,10
5,44,Lewis Hamilton,Mercedes,1:12.937,1:12.999,1:12.818,4
6,18,Lance Stroll,Aston MartinAramco-Mercedes,1:13.766,1:13.082,1:12.994,5
7,31,Esteban Ocon,Alpine-Renault,1:13.433,1:13.001,1:13.083,6
8,27,Nico Hülkenberg,Haas-Ferrari,1:13.420,1:13.283,1:13.229,7
9,14,Fernando Alonso,Aston MartinAramco-Mercedes,1:13.747,1:13.098,1:13.507,8
10,81,Oscar Piastri,McLaren-Mercedes,1:13.691,1:13.059,1:13.682,9
11,11,Sergio Pérez,Red Bull Racing-Honda RBPT,1:13.874,1:13.334,N/A,11
12,63,George Russell,Mercedes,1:13.326,1:13.447,N/A,12
13,24,Zhou Guanyu,Alfa Romeo-Ferrari,1:13.677,1:13.521,N/A,13
14,21,Nyck de Vries,AlphaTauri-Honda RBPT,1:13.581,1:14.083,N/A,14
15,22,Yuki Tsunoda,AlphaTauri-Honda RBPT,1:13.862,1:14.477,N/A,15
16,77,Valtteri Bottas,Alfa Romeo-Ferrari,1:13.977,N/A,N/A,16
17,20,Kevin Magnussen,Haas-Ferrari,1:14.042,N/A,N/A,17
18,23,Alexander Albon,Williams-Mercedes,1:14.063,N/A,N/A,18
19,16,Charles Leclerc,Ferrari,1:14.079,N/A,N/A,PL
20,2,Logan Sargeant,Williams-Mercedes,1:14.699,N/A,N/A,PL
