Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,4,Lewis Hamilton,McLaren-Mercedes,1:41.497,1:40.901,1:40.630,1
2,2,Mark Webber,Red Bull-Renault,1:41.933,1:41.277,1:40.978,2
3,18,Pastor Maldonado,Williams-Renault,1:41.981,1:41.907,1:41.226,3
4,9,Kimi Räikkönen,Lotus-Renault,1:42.222,1:41.532,1:41.260,4
5,3,Jenson Button,McLaren-Mercedes,1:42.342,1:41.873,1:41.290,5
6,5,Fernando Alonso,Ferrari,1:41.939,1:41.514,1:41.582,6
7,8,Nico Rosberg,Mercedes,1:41.926,1:41.698,1:41.603,7
8,6,Felipe Massa,Ferrari,1:41.974,1:41.846,1:41.723,8
9,10,Romain Grosjean,Lotus-Renault,1:42.046,1:41.620,1:41.778,9
10,12,Nico Hülkenberg,Force India-Mercedes,1:42.579,1:42.019,,10
11,15,Sergio Pérez,Sauber-Ferrari,1:42.624,1:42.084,,11
12,11,Paul di Resta,Force India-Mercedes,1:42.572,1:42.218,,12
13,7,Michael Schumacher,Mercedes,1:42.735,1:42.289,,13
14,19,Bruno Senna,Williams-Renault,1:43.298,1:42.330,,14
15,14,Kamui Kobayashi,Sauber-Ferrari,1:43.582,1:42.606,,15
16,16,Daniel Ricciardo,Toro Rosso-Ferrari,1:43.280,1:42.765,,16
17,17,Jean-Éric Vergne,Toro Rosso-Ferrari,1:44.058,,,17
18,20,Heikki Kovalainen,Caterham-Renault,1:44.956,,,18
19,25,Charles Pic,Marussia-Cosworth,1:45.089,,,19
20,21,Vitaly Petrov,Caterham-Renault,1:45.151,,,20
21,24,Timo Glock,Marussia-Cosworth,1:45.426,,,21
22,22,Pedro de la Rosa,HRT-Cosworth,1:45.766,,,22
23,23,Narain Karthikeyan,HRT-Cosworth,1:46.382,,,23
EX,1,Sebastian Vettel,Red Bull-Renault,1:42.160,1:41.511,1:41.073,PL
