Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,7,Michael Schumacher,Mercedes,1:15.873,1:15.062,1:14.301,6
2,2,Mark Webber,Red Bull-Renault,1:16.013,1:15.035,1:14.381,1
3,8,Nico Rosberg,Mercedes,1:15.900,1:15.022,1:14.448,2
4,4,Lewis Hamilton,McLaren-Mercedes,1:16.063,1:15.166,1:14.583,3
5,10,Romain Grosjean,Lotus-Renault,1:15.718,1:15.219,1:14.639,4
6,5,Fernando Alonso,Ferrari,1:16.153,1:15.128,1:14.948,5
7,6,Felipe Massa,Ferrari,1:15.983,1:14.911,1:15.049,7
8,9,Kimi Räikkönen,Lotus-Renault,1:15.889,1:15.322,1:15.199,8
9,18,Pastor Maldonado,Williams-Renault,1:16.017,1:15.026,1:15.245,23
10,1,Sebastian Vettel,Red Bull-Renault,1:15.757,1:15.234,no time,9
11,12,Nico Hülkenberg,Force India-Mercedes,1:15.418,1:15.421,,10
12,14,Kamui Kobayashi,Sauber-Ferrari,1:15.648,1:15.508,,11
13,3,Jenson Button,McLaren-Mercedes,1:16.399,1:15.536,,12
14,19,Bruno Senna,Williams-Renault,1:15.923,1:15.709,,13
15,11,Paul di Resta,Force India-Mercedes,1:16.062,1:15.718,,14
16,16,Daniel Ricciardo,Toro Rosso-Ferrari,1:16.360,1:15.878,,15
17,17,Jean-Éric Vergne,Toro Rosso-Ferrari,1:16.491,1:16.885,,16
18,20,Heikki Kovalainen,Caterham-Renault,1:16.538,,,17
19,21,Vitaly Petrov,Caterham-Renault,1:17.404,,,18
20,24,Timo Glock,Marussia-Cosworth,1:17.947,,,19
21,22,Pedro de la Rosa,HRT-Cosworth,1:18.096,,,20
22,25,Charles Pic,Marussia-Cosworth,1:18.476,,,21
23,23,Narain Karthikeyan,HRT-Cosworth,1:19.310,,,22
—,15,Sergio Pérez,Sauber-Ferrari,no time,,,24
