Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,4,Lewis Hamilton,McLaren-Mercedes,1:21.794,1:21.060,1:20.953,1
2,10,Romain Grosjean,Lotus-Renault,1:22.755,1:21.657,1:21.366,2
3,1,Sebastian Vettel,Red Bull-Renault,1:22.948,1:21.407,1:21.416,3
4,3,Jenson Button,McLaren-Mercedes,1:22.028,1:21.618,1:21.583,4
5,9,Kimi Räikkönen,Lotus-Renault,1:22.234,1:21.583,1:21.730,5
6,5,Fernando Alonso,Ferrari,1:22.095,1:21.598,1:21.844,6
7,6,Felipe Massa,Ferrari,1:22.203,1:21.534,1:21.900,7
8,18,Pastor Maldonado,Williams-Renault,1:22.475,1:21.504,1:21.939,8
9,19,Bruno Senna,Williams-Renault,1:22.271,1:21.697,1:22.343,9
10,12,Nico Hülkenberg,Force India-Mercedes,1:22.176,1:21.653,1:22.847,10
11,2,Mark Webber,Red Bull-Renault,1:22.829,1:21.715,,11
12,11,Paul di Resta,Force India-Mercedes,1:21.912,1:21.813,,12
13,8,Nico Rosberg,Mercedes,1:22.079,1:21.895,,13
14,15,Sergio Pérez,Sauber-Ferrari,1:22.110,1:21.895,,14
15,14,Kamui Kobayashi,Sauber-Ferrari,1:22.801,1:22.300,,15
16,17,Jean-Éric Vergne,Toro Rosso-Ferrari,1:22.799,1:22.380,,16
17,7,Michael Schumacher,Mercedes,1:22.436,1:22.723,,17
18,16,Daniel Ricciardo,Toro Rosso-Ferrari,1:23.250,,,18
19,20,Heikki Kovalainen,Caterham-Renault,1:23.576,,,19
20,21,Vitaly Petrov,Caterham-Renault,1:24.167,,,20
21,25,Charles Pic,Marussia-Cosworth,1:25.244,,,21
22,24,Timo Glock,Marussia-Cosworth,1:25.476,,,22
23,22,Pedro de la Rosa,HRT-Cosworth,1:25.916,,,23
24,23,Narain Karthikeyan,HRT-Cosworth,1:26.178,,,24
